,bc8,6/4,9/4,6/8,9/8,bc4,bc2,bc3,2/2,2/4,bc6,3/4,5/4,7/4,12/4,bc12,12/8,5/8,7/8,4/4
bc6,2.220412699959072,1.8643407893747364,1.8668220517180336,1.9939009404108223,2.0002472203502304,1.7253243712550146,1.405967348855055,0.9927230311585716,1.75821487324908,1.860476112244848,0.0,1.8825274342600933,1.906540650762593,1.9067323077597207,2.6481046648891966,1.7253243712550146,2.76849898859864,2.3094404906176997,2.309946705063972,2.917409022634549
3/4,2.2293120147496923,1.2930859423189416,1.1216629584860036,1.2872585565934311,1.0996133551087752,2.227400067552585,2.3496071430748593,2.1282407188413988,0.7817198372769737,0.7851477758628974,1.8825274342600933,0.0,0.8835918590136324,0.9010965486695457,1.7867851795630358,1.3707259070105289,1.8584854623428386,1.036425683248763,1.0534046921856668,1.9400622495499895
5/4,2.2532149752985324,1.3224194612052316,1.3547024843901374,1.3167097073577663,1.3507320383463748,2.2508935143767324,2.368890339179246,2.149510704696051,0.8263738498055486,0.8289172350122375,1.906540650762593,0.8835918590136324,0.0,1.1170257789784006,1.744063812679016,1.4185256361043792,1.8147095446997525,0.4375706022570788,1.2627344374709848,1.8894615156908252
7/4,2.2533588000879243,1.3072110072525434,1.3628357694233568,1.3002813732968839,1.3594983578925481,2.2511478991248546,2.369044592130174,2.149680699556884,0.7937740245043746,0.7943838320416364,1.9067323077597207,0.9010965486695457,1.1170257789784006,0.0,1.7422420368806026,1.419217888120888,1.8128754645913847,1.2627148896448674,0.43830894434886936,1.8874821357783789
12/4,2.3447982212527827,1.3549580202668987,1.7259297301710825,1.2884688717178001,1.6979774251729558,2.6005825517239076,2.7559993450421447,2.7028128561589067,1.339533782027483,1.3212670724189552,2.6481046648891966,1.7867851795630358,1.744063812679016,1.7422420368806026,0.0,2.36595001438284,0.14228553771727204,1.7890006073456262,1.7869738809221474,0.7008191036502152
bc12,2.420839754357787,1.7769139460318262,1.7917291015231243,1.8063242723819102,1.8225251356259722,1.9883380930045633,2.225643361388572,1.9905384202871277,1.2925947087325136,1.3321628661612053,1.7253243712550146,1.3707259070105289,1.4185256361043792,1.419217888120888,2.36595001438284,0.0,2.4433736069101064,1.5351779029343833,1.5359393198265974,2.4912737073317555
12/8,2.4395604317236406,1.4626241253415206,1.8258365945167263,1.3840898833098982,1.7867521571984877,2.712765879466653,2.891210597102619,2.830674623411718,1.4240770226395114,1.3954610960104632,2.76849898859864,1.8584854623428386,1.8147095446997525,1.8128754645913847,0.14228553771727204,2.4433736069101064,0.0,1.8344233449862666,1.8323325406960953,0.6389069767804659
5/8,2.462810187313962,1.5283393048085658,1.5613240904579364,1.4848781429353266,1.5193086986034823,2.5120230026317496,2.703749168423549,2.513764984300876,1.0255077244438382,0.9876091803044088,2.3094404906176997,1.036425683248763,0.4375706022570788,1.2627148896448674,1.7890006073456262,1.5351779029343833,1.8344233449862666,0.0,1.2580760338572454,1.8698820567618504
7/8,2.463117746962628,1.5136248336904237,1.5694078757654704,1.4685366620095908,1.5281930980729352,2.5124884012234587,2.7041815705093497,2.5142300604416783,0.9962732512321678,0.9552730388612038,2.309946705063972,1.0534046921856668,1.2627344374709848,0.43830894434886936,1.7869738809221474,1.5359393198265974,1.8323325406960953,1.2580760338572454,0.0,1.8675674202835844
4/4,2.9525805869692636,1.9043676486124754,2.22672636034257,1.8362830196836826,2.1898337409543522,3.1166874275784666,3.2385212044073435,3.0816836992044037,1.5053933377983226,1.4391207608714438,2.917409022634549,1.9400622495499895,1.8894615156908252,1.8874821357783789,0.7008191036502152,2.4912737073317555,0.6389069767804659,1.8698820567618504,1.8675674202835844,0.0
