,bc8,bc2,bc4,6/8,6/4,bc12,bc3,5/8,5/4,9/8,9/4,2/4,2/2,12/8,12/4,4/4,3/4,bc6,7/8,7/4
9/4,17.07614878442352,17.07614878442352,17.07614878442352,14.892934539049765,14.892948876552977,19.155104687511,22.813687855080705,15.624532000066752,15.654511130121422,0.200175665698408,0.0,16.13632104891534,16.095115735745466,20.79267975673984,20.792464477536758,18.42306882095588,9.580027917893737,22.36580399963445,17.142742529157847,17.267564185501048
2/4,17.120437965037727,17.120437965037727,17.120437965037727,6.395661325812598,6.37917566937267,17.256390552873274,22.317309544352703,13.968639800234874,13.957798367904088,16.138462993094404,16.13632104891534,0.0,0.9816719338482303,15.783967050026083,15.782122759050464,12.245661643465748,16.78539969070689,20.89021265567216,16.36306345389738,16.455206817581992
2/2,17.123362155032957,17.123362155032957,17.123362155032957,6.419258952444759,6.403063821310861,17.264174578147514,22.119667093676142,13.974978003832206,13.963206745795393,16.09718840529633,16.095115735745466,0.9816719338482303,0.0,15.794776561009764,15.79293725866541,12.262429079719205,16.754782826944428,20.89788595635358,16.424598790861626,16.52334500958803
12/8,17.80883910546684,17.80883910546684,17.80883910546684,14.11464520299275,14.116202942456754,21.776635123760855,23.81133150669927,17.41934447086152,17.443529454602054,20.787125834213324,20.79267975673984,15.783967050026083,15.794776561009764,0.0,0.05704803180007531,11.75198360527316,19.907667207721715,23.98262061439724,20.49782686816184,20.50334528475414
12/4,17.809039359189892,17.809039359189892,17.809039359189892,14.114822531879518,14.115769675035166,21.7767849927804,23.807760755207912,17.419447696853094,17.442355569904706,20.787260867929742,20.792464477536758,15.782122759050464,15.79293725866541,0.05704803180007531,0.0,11.75139858981556,19.908149675302838,23.994587220168903,20.497933907194227,20.503163039649465
4/4,17.83270770573841,17.83270770573841,17.83270770573841,11.28344039508639,11.282811674395193,19.477864685334172,23.27697099107639,16.393690096262397,16.410347637831,18.42366258351994,18.42306882095588,12.245661643465748,12.262429079719205,11.75198360527316,11.75139858981556,0.0,16.70573267231576,22.646883711821058,17.620692566203356,17.657037815202585
3/4,18.441503713272436,18.441503713272436,18.441503713272436,16.067330323462215,16.07069673664522,18.976483274721954,23.473424681025353,16.23555057577915,16.147189427096983,9.578912003015876,9.580027917893737,16.78539969070689,16.754782826944428,19.907667207721715,19.908149675302838,16.70573267231576,0.0,22.057428857055882,18.882717758438968,19.02982227145539
bc6,18.63718150838853,18.63718150838853,18.63718150838853,21.652624268643613,21.694504179682507,14.4253452291444,20.42035224833365,22.667047751495293,22.50966766251088,22.323228370738132,22.36580399963445,20.89021265567216,20.89788595635358,23.98262061439724,23.994587220168903,22.646883711821058,22.057428857055882,0.0,23.73729777948262,23.875226304900902
7/8,19.574818470918142,19.574818470918142,19.574818470918142,16.518507312878985,16.5195260249062,20.480863226664408,24.55207861535666,17.028098768411212,17.107936003998883,17.141362254184585,17.142742529157847,16.36306345389738,16.424598790861626,20.49782686816184,20.497933907194227,17.620692566203356,18.882717758438968,23.73729777948262,0.0,1.3672125465302953
7/4,19.639320663359058,19.639320663359058,19.639320663359058,16.59726391809414,16.596165755682783,20.54766342497029,24.539703943176374,17.098040149791597,17.17691797274757,17.266593381186848,17.267564185501048,16.455206817581992,16.52334500958803,20.50334528475414,20.503163039649465,17.657037815202585,19.02982227145539,23.875226304900902,1.3672125465302953,0.0
