Meter,2/2,2/4,3/4,4/4,5/4,6/4,7/4,9/4,12/4,5/8,6/8,7/8,9/8,12/8,bc12,bc24,bc48,bc4,bc8,bc16
6/8,6.419258952444759,6.395661325812598,134.9867942996034,9.19434166453007,14.325733683390066,0.17943368156025197,128.02491843251704,237.33709295897398,9.491788546242045,14.2818757524909,0.0,41.04660370845179,237.28915997467846,9.491653631953305,18.58334321193376,10.085427743490046,5.805562093086122,16.195369411495964,16.195369411495964,16.195369411495964
7/8,44.93588516262642,44.94977756595464,142.14209288935757,43.719101754407966,43.277221216616695,41.04724958411214,131.26742831308334,244.74311574290644,43.432413144223695,43.29333165881707,41.04660370845179,0.0,244.69621999891916,43.43237654081257,49.44547109283083,42.45038065568436,41.42634664427689,36.843581564989265,36.843581564989265,36.843581564989265
9/8,237.10153083377,236.93117045556505,116.39711839650614,238.21245862508997,237.69079095668545,237.23904295878887,177.03802186055907,0.2001756656984068,238.23727815693536,237.740025579624,237.28915997467846,244.69621999891916,0.0,238.2527748931739,234.5808877620559,237.81607760091248,237.7865440637508,238.09116357916272,238.09116357916272,238.09116357916272
12/8,10.702283182497291,10.693907149679662,135.99697821952037,1.6491036802046521,16.953235336762962,9.493489174884724,129.23226812324705,238.30034656753298,0.05704803180007531,16.929030506389626,9.491653631953305,43.43237654081257,238.2527748931739,0.0,21.776065712195408,14.239322435751257,10.00347605660662,18.62092275039319,18.62092275039319,18.62092275039319
bc12,17.264174578147514,17.256390552873274,134.40966562758052,21.636796941696215,19.560502042850658,18.584736198690763,126.93418584574793,234.62942275674976,21.776159451283764,19.512739497327257,18.58334321193376,49.44547109283083,234.5808877620559,21.776065712195408,0.0,20.116008064341784,20.352271610516084,16.688555934928594,16.688555934928594,16.688555934928594
bc24,11.099532927789499,11.085931087833938,135.2542797603604,13.71347694657254,13.716682743175546,10.087619562709659,129.0476036342934,237.86385677131855,14.239429539341199,13.631479482247123,10.085427743490046,42.45038065568436,237.81607760091248,14.239322435751257,20.116008064341784,0.0,14.169854075983336,18.343713502168537,18.343713502168537,18.343713502168537
bc48,8.833929724963541,8.818938113069509,135.63483732608427,9.833053939001935,15.414451389001199,5.807854381053894,128.43784117333817,237.8344067415258,10.003599046425624,15.385091474901706,5.805562093086122,41.42634664427689,237.7865440637508,10.00347605660662,20.352271610516084,14.169854075983336,0.0,16.474650862156608,16.474650862156608,16.474650862156608
bc4,17.123362155032957,17.120437965037727,136.31348574006878,18.50991098593475,16.881116206100554,16.19716226031538,127.92368783359522,238.13908922807133,18.621048625853284,16.864219397332974,16.195369411495964,36.843581564989265,238.09116357916272,18.62092275039319,16.688555934928594,18.343713502168537,16.474650862156608,0.0,0.0,0.0
bc8,17.123362155032957,17.120437965037727,136.31348574006878,18.50991098593475,16.881116206100554,16.19716226031538,127.92368783359522,238.13908922807133,18.621048625853284,16.864219397332974,16.195369411495964,36.843581564989265,238.09116357916272,18.62092275039319,16.688555934928594,18.343713502168537,16.474650862156608,0.0,0.0,0.0
bc16,17.123362155032957,17.120437965037727,136.31348574006878,18.50991098593475,16.881116206100554,16.19716226031538,127.92368783359522,238.13908922807133,18.621048625853284,16.864219397332974,16.195369411495964,36.843581564989265,238.09116357916272,18.62092275039319,16.688555934928594,18.343713502168537,16.474650862156608,0.0,0.0,0.0
