INDEX - DISTANCE - PATTERN - METER
139. - 0.195616880884 - [0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0] - [7,4] 
140. - 0.195726324723 - [1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0] - [12,4] 
141. - 0.196565507191 - [1,0,0,0,1,0,1,0,1,1] - [5,8] 
142. - 0.196686931369 - [1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0] - [7,4] 
143. - 0.196686931369 - [1,0,0,1,1,0,0,0,1,0,0,0,1,0] - [7,8] 
144. - 0.196832540388 - [1,0,0,0,1,0,0,1,1,0,0,0,1,0] - [7,8] 
145. - 0.197068117873 - [1,0,1,0,0,1,1,0,1,0] - [5,8] 
146. - 0.197180841773 - [1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0] - [9,4] 
147. - 0.198044872651 - [1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0] - [9,4] 
148. - 0.198044872651 - [0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0] - [9,4] 
149. - 0.198044872651 - [0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0] - [9,8] 
150. - 0.198381104548 - [1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0] - [9,4] 
151. - 0.198381104548 - [1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0] - [9,8] 
152. - 0.198462361312 - [1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0] - [5,4] 
153. - 0.199160848113 - [1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0] - [5,4] 
154. - 0.199160848113 - [1,0,0,1,1,0,1,0,1,0] - [5,8] 
155. - 0.199439455162 - [1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0] - [9,8] 
156. - 0.199461959696 - [1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0] - [5,4] 
157. - 0.199461959696 - [1,0,1,0,1,0,0,0,1,1] - [5,8] 
158. - 0.200003515656 - [1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0] - [9,4] 
159. - 0.200003515656 - [1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0] - [9,8] 
160. - 0.200259872730 - [1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0] - [9,8] 
161. - 0.200901192810 - [0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0] - [5,4] 
162. - 0.202109526851 - [1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0] - [12,4] 
