,mc9,9/4,9/8,mc12,3/4,7/4,mc6,7/8,5/4,6/4,6/8,5/8,12/4,mc8,12/8,mc3,mc7,4/4,2/2,mc5,2/4,mc4,mc2
6/8,22.228117927933784,15.117066471485764,15.285289748233405,16.762614058487916,11.685041766761138,19.521514556398227,13.457851417599567,19.875153855897736,18.817164304695858,1.855287940084312,0.0,19.37134672493801,7.1315773073327335,20.529163627878088,7.201800772677564,22.367324822310767,24.53354493949243,10.310541562590961,10.310541562590961,25.4216180875216,11.00365162810339,18.759208097533556,17.79694046739368
5/8,22.243939126410382,18.501639514241212,19.09428551306404,21.012316858738544,20.48600291309661,18.711955008037986,23.095222269284594,19.413508938780016,2.8545807211371392,18.507081403861847,19.37134672493801,0.0,18.54269577821641,22.078346308540485,19.08960478791456,28.019408056301927,23.157362898785287,20.61266753713839,20.61266753713839,8.846525447416168,21.63806623888902,25.00522192589559,30.0146067648767
12/4,22.70325975727764,16.674972690884047,17.122445912498744,16.90821829199694,15.466636498301206,18.446272707354705,18.27149803230125,18.98399306348789,17.73653773736894,6.746301393630056,7.1315773073327335,18.54269577821641,0.0,17.17327007544309,1.0486824967566328,25.544050069011647,23.75520897494223,5.160388578965741,5.160388578965741,24.723891915356436,6.3045080092247545,13.156076620070605,17.79284465202101
mc8,22.9128784747792,20.84143350233301,21.730312065442106,17.74823934929885,22.752572286845634,19.65309252030103,22.9128784747792,20.830137223271425,20.5374556891494,19.189025898925898,20.529163627878088,22.078346308540485,17.17327007544309,0.0,17.74411824156036,30.740852297878796,24.186773244895647,18.064670108169057,18.064670108169057,26.324893162176366,19.12167827076478,17.74823934929885,30.740852297878796
12/8,23.38587582348263,17.286250771000123,17.68040095805835,17.611488809111773,15.81787560594014,19.17067446996353,18.73008404478359,19.650984729138486,18.361290809268578,7.015829783950621,7.201800772677564,19.08960478791456,1.0486824967566328,17.74411824156036,0.0,25.785575437242628,24.379601630577053,4.687107787650878,4.687107787650878,25.237880918156065,5.630034663905703,13.16566875692523,17.172555090635655
mc3,23.664319132398465,15.708281143665182,14.933256131143402,25.099800796022265,12.31057745622331,27.787107779719644,20.493901531919196,28.10400319541597,27.548866067037522,22.20639799703207,22.367324822310767,28.019408056301927,25.544050069011647,30.740852297878796,25.785575437242628,0.0,30.983866769659336,27.97687483862031,27.97687483862031,31.74901573277509,28.59722741405223,32.4037034920393,35.4964786985977
mc7,23.664319132398465,21.702337577119646,22.418257060837796,22.58317958127243,24.38566103542461,8.319980162087745,25.69046515733026,7.569506446716221,21.985713376875875,23.53741705681455,24.53354493949243,23.157362898785287,23.75520897494223,24.186773244895647,24.379601630577053,30.983866769659336,0.0,26.093117645105576,26.093117645105576,26.832815729997478,27.192327087081047,28.460498941515414,35.4964786985977
4/4,25.76577184739933,19.98187734320453,20.256166105877966,21.507275069144484,18.88114988408391,21.126536338935267,21.97276672180963,21.46826011459733,20.0761211292932,10.353393821168684,10.310541562590961,20.61266753713839,5.160388578965741,18.064670108169057,4.687107787650878,27.97687483862031,26.093117645105576,0.0,0.0,26.67221793607858,1.8435488673206095,13.370458921018807,15.475398582663823
2/2,25.76577184739933,19.98187734320453,20.256166105877966,21.507275069144484,18.88114988408391,21.126536338935267,21.97276672180963,21.46826011459733,20.0761211292932,10.353393821168684,10.310541562590961,20.61266753713839,5.160388578965741,18.064670108169057,4.687107787650878,27.97687483862031,26.093117645105576,0.0,0.0,26.67221793607858,1.8435488673206095,13.370458921018807,15.475398582663823
mc5,25.92296279363144,23.396319374142724,23.95120936451877,25.099800796022265,25.48202146733009,23.292650640825517,27.49545416973504,23.965776224482774,9.751701647701985,24.60390859957022,25.4216180875216,8.846525447416168,24.723891915356436,26.324893162176366,25.237880918156065,31.74901573277509,26.832815729997478,26.67221793607858,26.67221793607858,0.0,27.621301226026034,29.698484809834994,35.4964786985977
2/4,26.95105796038624,21.102920812886534,21.313596804954397,22.73540613010013,19.71931874015798,22.36938103046971,22.920623619492535,22.639796644912682,21.202556572887715,11.228266461381969,11.00365162810339,21.63806623888902,6.3045080092247545,19.12167827076478,5.630034663905703,28.59722741405223,27.192327087081047,1.8435488673206095,1.8435488673206095,27.621301226026034,0.0,13.762954476438104,14.655640604833392
mc4,27.748873851023216,24.263759074330288,24.89056299524408,20.493901531919196,24.028753859048933,23.96464468079562,25.099800796022265,24.832350911413993,23.80921883104286,18.452711477167362,18.759208097533556,25.00522192589559,13.156076620070605,17.74823934929885,13.16566875692523,32.4037034920393,28.460498941515414,13.370458921018807,13.370458921018807,29.698484809834994,13.762954476438104,0.0,25.099800796022265
mc2,35.4964786985977,30.302856145887514,30.235863700870926,32.4037034920393,28.17961344738517,31.485119494790034,28.982753492378876,31.33923614069389,30.17011742336955,18.757410620094124,17.79694046739368,30.0146067648767,17.79284465202101,30.740852297878796,17.172555090635655,35.4964786985977,35.4964786985977,15.475398582663823,15.475398582663823,35.4964786985977,14.655640604833392,25.099800796022265,0.0
