,2/2,2/4,3/4,4/4,5/4,6/4,7/4,9/4,12/4,5/8,6/8,7/8,9/8,12/8,mc2,mc3,mc4,mc5,mc6,mc7,mc9,mc12,mc8
6/8,10.310541562590961,11.00365162810339,11.685041766761138,10.310541562590961,18.817164304695858,1.855287940084312,19.521514556398227,15.117066471485764,7.1315773073327335,19.37134672493801,0.0,19.875153855897736,15.285289748233405,7.201800772677564,17.79694046739368,22.367324822310767,18.759208097533556,25.4216180875216,13.457851417599567,24.53354493949243,22.228117927933784,16.762614058487916,20.529163627878088
7/8,21.46826011459733,22.639796644912682,20.495332605963448,21.46826011459733,18.161952629026118,18.814916826701467,2.4427129587190586,17.807710322550097,18.98399306348789,19.413508938780016,19.875153855897736,0.0,18.57845697408884,19.650984729138486,31.33923614069389,28.10400319541597,24.832350911413993,23.965776224482774,22.24436172208018,7.569506446716221,20.75349094324468,19.31262812405109,20.830137223271425
9/8,20.256166105877966,21.313596804954397,9.170976670922379,20.256166105877966,18.09709192201779,14.459428242478689,17.866506495253958,1.572153163643502,17.122445912498744,19.09428551306404,15.285289748233405,18.57845697408884,0.0,17.68040095805835,30.235863700870926,14.933256131143402,24.89056299524408,23.95120936451877,15.444209218650991,22.418257060837796,10.976287895672767,16.78386721069146,21.730312065442106
12/8,4.687107787650878,5.630034663905703,15.81787560594014,4.687107787650878,18.361290809268578,7.015829783950621,19.17067446996353,17.286250771000123,1.0486824967566328,19.08960478791456,7.201800772677564,19.650984729138486,17.68040095805835,0.0,17.172555090635655,25.785575437242628,13.16566875692523,25.237880918156065,18.73008404478359,24.379601630577053,23.38587582348263,17.611488809111773,17.74411824156036
mc2,15.475398582663823,14.655640604833392,28.17961344738517,15.475398582663823,30.17011742336955,18.757410620094124,31.485119494790034,30.302856145887514,17.79284465202101,30.0146067648767,17.79694046739368,31.33923614069389,30.235863700870926,17.172555090635655,0.0,35.4964786985977,25.099800796022265,35.4964786985977,28.982753492378876,35.4964786985977,35.4964786985977,32.4037034920393,30.740852297878796
mc3,27.97687483862031,28.59722741405223,12.31057745622331,27.97687483862031,27.548866067037522,22.20639799703207,27.787107779719644,15.708281143665182,25.544050069011647,28.019408056301927,22.367324822310767,28.10400319541597,14.933256131143402,25.785575437242628,35.4964786985977,0.0,32.4037034920393,31.74901573277509,20.493901531919196,30.983866769659336,23.664319132398465,25.099800796022265,30.740852297878796
mc4,13.370458921018807,13.762954476438104,24.028753859048933,13.370458921018807,23.80921883104286,18.452711477167362,23.96464468079562,24.263759074330288,13.156076620070605,25.00522192589559,18.759208097533556,24.832350911413993,24.89056299524408,13.16566875692523,25.099800796022265,32.4037034920393,0.0,29.698484809834994,25.099800796022265,28.460498941515414,27.748873851023216,20.493901531919196,17.74823934929885
mc5,26.67221793607858,27.621301226026034,25.48202146733009,26.67221793607858,9.751701647701985,24.60390859957022,23.292650640825517,23.396319374142724,24.723891915356436,8.846525447416168,25.4216180875216,23.965776224482774,23.95120936451877,25.237880918156065,35.4964786985977,31.74901573277509,29.698484809834994,0.0,27.49545416973504,26.832815729997478,25.92296279363144,25.099800796022265,26.324893162176366
mc6,21.97276672180963,22.920623619492535,11.543337910270731,21.97276672180963,22.087904136170966,12.917888763141859,21.507212299549547,15.185274801765173,18.27149803230125,23.095222269284594,13.457851417599567,22.24436172208018,15.444209218650991,18.73008404478359,28.982753492378876,20.493901531919196,25.099800796022265,27.49545416973504,0.0,25.69046515733026,20.493901531919196,14.491376746189438,22.9128784747792
mc7,26.093117645105576,27.192327087081047,24.38566103542461,26.093117645105576,21.985713376875875,23.53741705681455,8.319980162087745,21.702337577119646,23.75520897494223,23.157362898785287,24.53354493949243,7.569506446716221,22.418257060837796,24.379601630577053,35.4964786985977,30.983866769659336,28.460498941515414,26.832815729997478,25.69046515733026,0.0,23.664319132398465,22.58317958127243,24.186773244895647
mc9,25.76577184739933,26.95105796038624,18.863602306564708,25.76577184739933,20.91515051842962,21.169416084432868,19.73567963405563,10.52997496911535,22.70325975727764,22.243939126410382,22.228117927933784,20.75349094324468,10.976287895672767,23.38587582348263,35.4964786985977,23.664319132398465,27.748873851023216,25.92296279363144,20.493901531919196,23.664319132398465,0.0,18.708286933869708,22.9128784747792
mc12,21.507275069144484,22.73540613010013,15.747319750278555,21.507275069144484,19.324159691869433,15.65600948638201,17.987699387537617,15.65181648387643,16.90821829199694,21.012316858738544,16.762614058487916,19.31262812405109,16.78386721069146,17.611488809111773,32.4037034920393,25.099800796022265,20.493901531919196,25.099800796022265,14.491376746189438,22.58317958127243,18.708286933869708,0.0,17.74823934929885
mc8,18.064670108169057,19.12167827076478,22.752572286845634,18.064670108169057,20.5374556891494,19.189025898925898,19.65309252030103,20.84143350233301,17.17327007544309,22.078346308540485,20.529163627878088,20.830137223271425,21.730312065442106,17.74411824156036,30.740852297878796,30.740852297878796,17.74823934929885,26.324893162176366,22.9128784747792,24.186773244895647,22.9128784747792,17.74823934929885,0.0
