,c6,6/8,9/8,12/8,c3,6/4,9/4,3/4,5/8,c2,c1,7/8,5/4,7/4,2/4,12/4,c12,2/2,4/4,c4,c5,c9,c7,c8,c10,c14,c16
c1,1.4059673488550548,0.6299130617273755,0.6284309028163497,1.211834996535368,0.9985283792228454,1.0807258406403695,1.0724052774225061,0.5411042389377494,0.22108807311395806,0.0,0.0,0.23035179007344966,0.5524848344170975,0.5578057911536867,0.5257394130651457,1.8306739106385947,2.225643361388572,1.014468479783025,1.014468479783025,1.0,1.4090385954289637,1.9977672979278005,1.7203079548323494,1.7320508075688772,1.9806758753205744,2.4328828411822303,2.6457513110645907
7/8,1.411497463796868,0.65546483381469,0.6501652454645972,1.2080245851389662,1.0135284268228382,1.0813346887088815,1.07701095509979,0.5775099745284954,0.3003589447482924,0.23035179007344966,0.23035179007344966,0.0,0.5852483043836048,0.5527134941520594,0.5701151230850959,1.808727075577081,2.219465800378109,1.0353574208397751,1.0353574208397751,1.0222816614244599,1.405742525135592,1.9856514733077397,1.591041586513546,1.7438928972480268,1.968552940776381,2.236997900196411,2.6500924783640936
5/4,1.4810200781242244,0.7369892075803461,0.8005386696379058,1.1377645916950603,1.117635180980993,0.8642078005216504,0.8504890852576493,0.3482017305426329,0.5215003231176772,0.5524848344170975,0.5524848344170975,0.5852483043836048,0.0,0.37732880591959905,0.35062914006168744,1.648587715676394,2.036453378951739,0.7908579820928363,0.7908579820928363,0.5923524086130485,1.381338681428677,2.028571582361388,1.7735984311795583,1.531677149240665,1.8647816471204732,2.454988291509999,2.5107825770162453
7/4,1.4847925276607816,0.7422473701266755,0.8120146588472341,1.139675432255324,1.12166555373385,0.8666512467689604,0.8639303179444312,0.3567185381349066,0.5878618572430745,0.5578057911536867,0.5578057911536867,0.5527134941520594,0.37732880591959905,0.0,0.3566170839176929,1.6509357310260633,2.0385146390922295,0.793012258147808,0.793012258147808,0.598032738894366,1.4894889526311985,2.0393303168261787,1.6763729097992153,1.5294049088206862,2.0297044341758186,2.311287290320047,2.5136618793630965
2/4,1.4977175486956547,0.743087832623007,0.8137409931192062,1.1269124438945834,1.1237824769498568,0.8422062190824534,0.8750964606892008,0.3278551527953735,0.5687515443763678,0.5257394130651457,0.5257394130651457,0.5701151230850959,0.35062914006168744,0.3566170839176929,0.0,1.6136071788100435,2.063015472803755,0.5713625498910355,0.5713625498910355,0.562734398147889,1.4988585125331737,2.0591218031826304,1.7907311473598866,1.3073913125452439,2.049263002527252,2.4805172822571238,2.389408304187205
12/4,1.6199807587834578,1.456312003638819,1.6052474740371598,0.8969738840542739,1.7175211749023243,0.9178152456875875,1.1537106893286961,1.4887604469537363,1.8130633808584724,1.8306739106385947,1.8306739106385947,1.808727075577081,1.648587715676394,1.6509357310260633,1.6136071788100435,0.0,1.2157884911367243,1.5239735416949591,1.5239735416949591,1.65097119916055,2.180692276042456,2.33444036361741,2.334733447838011,1.7661364680496185,2.504581372238008,2.788721978566739,2.4798780780190106
c12,1.6916300351260647,1.7147604564809344,1.904017427748976,1.159714159305838,1.968507919044107,1.2689462382606684,1.2957208616227913,1.8159956655955014,2.2131261168934677,2.225643361388572,2.225643361388572,2.219465800378109,2.036453378951739,2.0385146390922295,2.063015472803755,1.2157884911367243,0.0,2.1084477335637737,2.1084477335637737,1.9883380930045633,2.532245773490153,2.5469878676973092,2.6814332308529103,2.4208397543577864,2.814826250282722,3.101893437904802,3.1103727436838122
2/2,1.7201513242621425,1.1076367221212904,1.1797742588723776,1.2802040909958925,1.4114315069764412,0.9793272886944041,1.073629668142576,0.7808585109320324,1.0340631848071955,1.014468479783025,1.014468479783025,1.0353574208397751,0.7908579820928363,0.793012258147808,0.5713625498910355,1.5239735416949591,2.1084477335637737,0.0,0.0,0.7487936309057044,1.7211618158789828,2.219355407888365,1.9753537005003214,0.8680149559175657,2.216275029798686,2.6106080129481497,1.899913016838256
4/4,1.7201513242621425,1.1076367221212904,1.1797742588723776,1.2802040909958925,1.4114315069764412,0.9793272886944041,1.073629668142576,0.7808585109320324,1.0340631848071955,1.014468479783025,1.014468479783025,1.0353574208397751,0.7908579820928363,0.793012258147808,0.5713625498910355,1.5239735416949591,2.1084477335637737,0.0,0.0,0.7487936309057044,1.7211618158789828,2.219355407888365,1.9753537005003214,0.8680149559175657,2.216275029798686,2.6106080129481497,1.899913016838256
c4,1.7253243712550144,1.07416059618284,1.1769529636693625,1.285580021628669,1.4090291046251149,0.8892996439540389,0.889204868285702,0.5786121950695781,1.0234641364243533,1.0,1.0,1.0222816614244599,0.5923524086130485,0.598032738894366,0.562734398147889,1.65097119916055,1.9883380930045633,0.7487936309057044,0.7487936309057044,0.0,1.7221998396470346,2.2262044958564564,1.9802114713553232,1.4142135623730951,2.2188007849009166,2.6200887131669544,2.449489742783178
c5,1.9298937074540903,1.500337905473565,1.5007020652612,1.7768699801820629,1.703818114241593,1.7050577036201262,1.686094786735465,1.4854682163536783,1.2736566902517494,1.4090385954289637,1.4090385954289637,1.405742525135592,1.381338681428677,1.4894889526311985,1.4988585125331737,2.180692276042456,2.532245773490153,1.7211618158789828,1.7211618158789828,1.7221998396470346,0.0,2.36307297695408,2.15159059470763,2.2197155980494347,1.382573195668337,2.6974489686452614,2.96371760952992
c9,1.9515387473334092,1.8594773970906338,1.7159631216104327,1.9648278932074974,1.7085095454837456,2.036066173284747,1.9156729847168208,1.999216284604241,1.9884460370672465,1.9977672979278005,1.9977672979278005,1.9856514733077397,2.028571582361388,2.0393303168261787,2.0591218031826304,2.33444036361741,2.5469878676973092,2.219355407888365,2.219355407888365,2.2262044958564564,2.36307297695408,0.0,2.520027661569704,2.624082890987822,2.6901997171903758,2.9660067137419768,3.259827666174672
c7,2.171199042861143,1.7935859473735836,1.7875936518829028,2.00175743592831,1.9565593751045711,1.938486364329788,1.9402180835998684,1.7740063657828178,1.7155870558039714,1.7203079548323494,1.7203079548323494,1.591041586513546,1.7735984311795583,1.6763729097992153,1.7907311473598866,2.334733447838011,2.6814332308529103,1.9753537005003214,1.9753537005003214,1.9802114713553232,2.15159059470763,2.520027661569704,0.0,2.4188039288373004,2.4997805726753914,1.6744300662529432,3.109036391182777
c8,2.2160701277379324,1.7676827799324082,1.8318304049988523,1.7614289935506746,1.9880347076139728,1.5172427005348845,1.654000426290441,1.523699348862208,1.743569536129644,1.7320508075688772,1.7320508075688772,1.7438928972480268,1.531677149240665,1.5294049088206862,1.3073913125452439,1.7661364680496185,2.4208397543577864,0.8680149559175657,0.8680149559175657,1.4142135623730951,2.2197155980494347,2.624082890987822,2.4188039288373004,0.0,2.631174057921088,2.9591817714964317,2.0
c10,2.336816456811431,2.020848874410272,2.024607499638621,2.2067530170524057,2.1580691522575792,2.1607708834276753,2.135968490493016,2.0240147447223555,1.7638117015274766,1.9806758753205744,1.9806758753205744,1.968552940776381,1.8647816471204732,2.0297044341758186,2.049263002527252,2.504581372238008,2.814826250282722,2.216275029798686,2.216275029798686,2.2188007849009166,1.382573195668337,2.6901997171903758,2.4997805726753914,2.631174057921088,0.0,2.9611630264259143,3.2617183044660427
c14,2.7380029116737132,2.4636388723151037,2.456437718686561,2.5791612533491732,2.5827085061557944,2.539416366753282,2.5468300459606907,2.45560775851362,2.418416944954962,2.4328828411822303,2.4328828411822303,2.236997900196411,2.454988291509999,2.311287290320047,2.4805172822571238,2.788721978566739,3.101893437904802,2.6106080129481497,2.6106080129481497,2.6200887131669544,2.6974489686452614,2.9660067137419768,1.6744300662529432,2.9591817714964317,2.9611630264259143,0.0,3.52859474173201
c16,2.964696623625035,2.65926061466424,2.6970293575017985,2.6502200274720393,2.806760739417626,2.501920189995918,2.5904831325697923,2.5103014036328375,2.6475112579441253,2.6457513110645907,2.6457513110645907,2.6500924783640936,2.5107825770162453,2.5136618793630965,2.389408304187205,2.4798780780190106,3.1103727436838122,1.899913016838256,1.899913016838256,2.449489742783178,2.96371760952992,3.259827666174672,3.109036391182777,2.0,3.2617183044660427,3.52859474173201,0.0
