Index,Distance,Pattern,Meter,Method
78,0.18,"[1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[12,4]",metricSync
79,0.183,"[0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0]","[9,4]",metricSync
80,0.184,"[0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0]","[9,4]",metricSync
81,0.184,"[1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0]","[6,4]",metricSync
82,0.184,"[1,0,0,0,1,0,1,0,0,1,1,0]","[6,8]",metricSync
83,0.184,"[1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0]","[12,8]",metricSync
84,0.184,"[1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0]","[12,4]",metricSync
85,0.184,"[1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0]","[6,4]",metricSync
86,0.185,"[1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0]","[5,4]",metricSync
87,0.185,"[1,1,1,0,1,0,0,0,0,0,1,0]","[6,8]",metricSync
88,0.186,"[1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[12,4]",metricSync
89,0.186,"[1,0,1,1,0,0,1,0,1,0,0,0]","[6,8]",metricSync
90,0.186,"[1,0,0,0,0,0,0,1,1,1,1,0]","[3,4]",metricSync
91,0.186,"[1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0]","[7,4]",metricSync
92,0.187,"[1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0]","[7,4]",metricSync
93,0.187,"[1,0,0,0,1,0,1,1,0,0,1,0]","[3,4]",metricSync
94,0.187,"[1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0]","[6,4]",metricSync
95,0.187,"[1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0]","[9,4]",metricSync
96,0.188,"[0,0,1,1,1,0,1,0,0,1]","[5,8]",metricSync
97,0.188,"[1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0]","[9,4]",metricSync
98,0.189,"[1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0]","[6,4]",metricSync
99,0.189,"[1,0,0,0,0,0,1,0,0,0,1,1,1,0]","[7,8]",metricSync
100,0.189,"[1,0,1,1,1,0,0,0,0,1]","[5,8]",metricSync
101,0.189,"[1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0]","[5,4]",metricSync
102,0.189,"[1,0,0,0,1,0,0,1,1,1]","[5,8]",metricSync
103,0.189,"[1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0]","[6,4]",metricSync
104,0.189,"[1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0]","[6,4]",metricSync
105,0.19,"[1,0,1,0,1,0,0,0,0,0,0,0,1,1]","[7,8]",metricSync
106,0.19,"[1,1,0,0,1,0,1,0,1,0,0,0]","[3,4]",metricSync
107,0.19,"[1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0]","[7,4]",metricSync
108,0.19,"[1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0]","[7,4]",metricSync
109,0.19,"[1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0]","[5,4]",metricSync
110,0.191,"[1,0,0,0,1,0,0,0,1,0,1,1,0,0]","[7,8]",metricSync
111,0.191,"[1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0]","[6,4]",metricSync
