,c6,6/8,c12,9/8,12/8,2/2,4/4,2/4,c16,c8,c4,c2,c1,6/4,c3,12/4,9/4,5/8,c10,3/4,c9,7/4,c5,c14,c7,5/4,7/8
c4,18.63718150838853,16.443057672920688,16.688555934928594,18.603997672383628,17.931504801074638,0.5984002533353978,0.5984002533353978,0.42247283489375725,0.0,0.0,0.0,0.0,0.0,18.50200164121698,16.738726381615233,17.274858561808653,19.934063089033614,18.457004285366466,19.683490606496733,28.523596276963243,19.21418459441485,25.347988238011173,19.78897525928905,19.87693641336885,20.17091388554113,35.14326771784524,34.0630603144222
c2,18.63718150838853,16.443057672920688,16.688555934928594,18.603997672383628,17.931504801074638,0.5984002533353978,0.5984002533353978,0.42247283489375725,0.0,0.0,0.0,0.0,0.0,18.50200164121698,16.738726381615233,17.274858561808653,19.934063089033614,18.457004285366466,19.683490606496733,28.523596276963243,19.21418459441485,25.347988238011173,19.78897525928905,19.87693641336885,20.17091388554113,35.14326771784524,34.0630603144222
c1,18.63718150838853,16.443057672920688,16.688555934928594,18.603997672383628,17.931504801074638,0.5984002533353978,0.5984002533353978,0.42247283489375725,0.0,0.0,0.0,0.0,0.0,18.50200164121698,16.738726381615233,17.274858561808653,19.934063089033614,18.457004285366466,19.683490606496733,28.523596276963243,19.21418459441485,25.347988238011173,19.78897525928905,19.87693641336885,20.17091388554113,35.14326771784524,34.0630603144222
6/4,19.426713822445752,14.09983663424629,13.447276588709425,23.000457607124755,9.637393043132661,18.401404183515773,18.401404183515773,18.50578478805124,18.50200164121698,18.50200164121698,18.50200164121698,18.50200164121698,18.50200164121698,0.0,22.508173060087884,11.238987135435892,21.32478376973932,24.89383483838249,26.37705327954314,22.898955162697447,25.524025086082233,24.761561058104085,28.678815123714852,28.926860860298632,29.268533991360442,36.204678305421304,36.50422715655989
c3,20.42035224833365,18.784284473758003,20.48020777421953,21.41791435227951,21.599640050393543,16.713855198491018,16.713855198491018,16.71166713629612,16.738726381615233,16.738726381615233,16.738726381615233,16.738726381615233,16.738726381615233,22.508173060087884,0.0,22.610055528103516,23.985603366378804,23.64756809627998,25.594823541534836,29.270809188141307,16.738726381615237,28.49227524949842,31.728530519252132,28.854365045899932,29.38190629258264,38.96976251498342,42.709933591496714
12/4,21.433103355061352,17.749168896501704,17.744975132146173,24.246145903897418,14.2321979164725,17.298453082751973,17.298453082751973,17.279784262109146,17.274858561808653,17.274858561808653,17.274858561808653,17.274858561808653,17.274858561808653,11.238987135435892,22.610055528103516,0.0,20.24135471340572,24.402031991131086,24.908703127599704,27.24092276646472,25.119790541382994,27.69901165497887,27.258952803723812,27.568922733226202,27.839941826150245,35.95347786062469,37.53756644426048
9/4,21.495676523734478,17.304401555270093,17.09199415971986,21.70201885681352,20.060721408527883,19.978995049958215,19.978995049958215,19.937734219401737,19.934063089033614,19.934063089033614,19.934063089033614,19.934063089033614,19.934063089033614,21.32478376973932,23.985603366378804,20.24135471340572,0.0,25.672642935938065,26.65234763818275,26.149157591027354,25.504555301258357,30.88208204869528,29.360029410173688,31.50915417266464,31.114892768161656,37.541295556916005,38.67192816632699
5/8,21.96947311156521,21.092569834596933,21.699889331682517,24.530438325091687,25.55795116789392,18.46107393830861,18.46107393830861,18.477226060803872,18.457004285366466,18.457004285366466,18.457004285366466,18.457004285366466,18.457004285366466,24.89383483838249,23.64756809627998,24.402031991131086,25.672642935938065,0.0,14.474775251288722,29.156415720450376,23.6249386633355,29.55751784145341,22.846127937994932,27.10116630635744,28.11021559062483,30.85212169450442,37.83840210519596
c10,23.951424922399063,23.798733263906684,23.592604569938164,26.612287277197513,26.896909719993904,19.70644226936862,19.70644226936862,19.688023916895983,19.683490606496733,19.683490606496733,19.683490606496733,19.683490606496733,19.683490606496733,26.37705327954314,25.594823541534836,24.908703127599704,26.65234763818275,14.474775251288722,0.0,32.50029463296947,27.07737767273091,28.954784604490243,24.10545496592286,27.79126434868572,28.071375646476767,28.487850471907297,39.474012432309316
3/4,24.51779475602692,19.138310024481502,16.949559310352193,24.481799478143923,22.957099465957935,28.432970106639296,28.432970106639296,28.523456686478596,28.523596276963243,28.523596276963243,28.523596276963243,28.523596276963243,28.523596276963243,22.898955162697447,29.270809188141307,27.24092276646472,26.149157591027354,29.156415720450376,32.50029463296947,0.0,30.129349687436587,27.936758925379312,35.305068275911275,35.212276384286774,34.64228986532866,34.125076228529075,30.69617890438257
