,c6,6/8,9/8,c12,12/8,2/2,4/4,2/4,c16,c8,c4,c2,c1,c3,9/4,12/4,c10,3/4,c9,c5,5/4,7/8,5/8,6/4,7/4,c14,c7
c4,18.63718150838853,16.443057672920688,18.72146844128829,16.688555934928594,19.049624798505842,0.5984002533353978,0.5984002533353978,0.42247283489375725,0.0,0.0,0.0,0.0,0.0,16.738726381615233,23.22380211919291,17.274858561808653,19.683490606496733,28.523596276963243,19.21418459441485,54.48531709073966,66.56973461566977,68.64074287239033,70.26494426391287,96.89999088107824,99.02146244570683,129.8700452223264,131.6973287778785
c2,18.63718150838853,16.443057672920688,18.72146844128829,16.688555934928594,19.049624798505842,0.5984002533353978,0.5984002533353978,0.42247283489375725,0.0,0.0,0.0,0.0,0.0,16.738726381615233,23.22380211919291,17.274858561808653,19.683490606496733,28.523596276963243,19.21418459441485,54.48531709073966,66.56973461566977,68.64074287239033,70.26494426391287,96.89999088107824,99.02146244570683,129.8700452223264,131.6973287778785
c1,18.63718150838853,16.443057672920688,18.72146844128829,16.688555934928594,19.049624798505842,0.5984002533353978,0.5984002533353978,0.42247283489375725,0.0,0.0,0.0,0.0,0.0,16.738726381615233,23.22380211919291,17.274858561808653,19.683490606496733,28.523596276963243,19.21418459441485,54.48531709073966,66.56973461566977,68.64074287239033,70.26494426391287,96.89999088107824,99.02146244570683,129.8700452223264,131.6973287778785
c3,20.42035224833365,18.784284473758003,20.887286071680467,20.48020777421953,22.05929410361088,16.713855198491018,16.713855198491018,16.71166713629612,16.738726381615233,16.738726381615233,16.738726381615233,16.738726381615233,16.738726381615233,0.0,25.53235502898003,22.610055528103516,25.594823541534836,29.270809188141307,16.738726381615237,54.95542690884444,66.08960573738835,63.19047764538673,73.7474672499092,105.70450520065631,91.7618155087537,133.61979380903236,135.46643838285217
9/4,20.49928878953114,14.634067190198394,25.12976932804655,13.136584843896314,17.384010904699835,23.073251396666382,23.073251396666382,23.226953296490688,23.22380211919291,23.22380211919291,23.22380211919291,23.22380211919291,23.22380211919291,25.53235502898003,0.0,23.16025617402624,30.089447849973215,20.59193140664261,28.412406820796377,54.539961438921736,64.84921498919671,73.24001522798375,72.89617995641822,96.07111056099109,103.28520803712327,127.54415582322517,129.38495043616075
12/4,21.433103355061352,17.749168896501704,23.97073776295571,17.744975132146173,19.65724461729065,17.298453082751973,17.298453082751973,17.279784262109146,17.274858561808653,17.274858561808653,17.274858561808653,17.274858561808653,17.274858561808653,22.610055528103516,23.16025617402624,0.0,24.908703127599704,27.24092276646472,25.119790541382994,55.37468293711148,66.46745684851636,71.40740173773544,71.75552553342835,95.59612015217786,100.7357551333643,129.3244238351238,131.17167398444784
c10,23.951424922399063,23.798733263906684,25.42217694766456,23.592604569938164,25.001530067487213,19.70644226936862,19.70644226936862,19.688023916895983,19.683490606496733,19.683490606496733,19.683490606496733,19.683490606496733,19.683490606496733,25.594823541534836,30.089447849973215,24.908703127599704,0.0,32.50029463296947,27.07737767273091,55.480472894431436,64.37671812241096,70.15210494133433,70.0105569458125,98.41108045712828,100.62123700415826,130.7035491965936,132.53395838258263
3/4,24.51779475602692,19.138310024481502,23.819892269157673,16.949559310352193,21.51842978442242,28.432970106639296,28.432970106639296,28.523456686478596,28.523596276963243,28.523596276963243,28.523596276963243,28.523596276963243,28.523596276963243,29.270809188141307,20.59193140664261,27.24092276646472,32.50029463296947,0.0,30.129349687436587,48.43283082048803,52.95788154685906,75.90720737924106,68.12123674913505,93.7224930852163,105.34600276491938,121.64986512361479,123.38986230208067
c9,24.93059329106275,22.822836755632053,23.865673649796424,23.509526717077993,26.362695515844347,19.219824339506154,19.219824339506154,19.21882860437837,19.21418459441485,19.21418459441485,19.21418459441485,19.21418459441485,19.21418459441485,16.738726381615237,28.412406820796377,25.119790541382994,27.07737767273091,30.129349687436587,0.0,58.36884356327716,69.01516798750045,63.41323398394598,75.46113637331264,108.05730889895733,89.8133101519745,135.48971985367086,137.3399247639636
c5,54.164009344063615,52.29337303077151,54.011227956771705,52.691049574154164,54.88292915615122,54.45172174116656,54.45172174116656,54.46676678385076,54.48531709073966,54.48531709073966,54.48531709073966,54.48531709073966,54.48531709073966,54.95542690884444,54.539961438921736,55.37468293711148,55.480472894431436,48.43283082048803,58.36884356327716,0.0,37.70541816951354,113.11990654684928,30.373474666824823,74.58292588956921,139.4207921100384,83.22661574552224,85.02986521428309
5/4,63.44915543766829,63.33983271086332,63.19952163891531,62.43108456975038,64.63988519720724,66.541033086484,66.541033086484,66.57169606220324,66.56973461566977,66.56973461566977,66.56973461566977,66.56973461566977,66.56973461566977,66.08960573738835,64.84921498919671,66.46745684851636,64.37671812241096,52.95788154685906,69.01516798750045,37.70541816951354,0.0,115.16689450201777,54.36141438006295,80.21937409290334,143.98772718516446,92.91740184970347,94.71815382906874
7/8,73.12317974576075,71.98160790976422,71.87584422485757,71.1445217750998,71.84254119872848,68.64601333328093,68.64601333328093,68.65400061028147,68.64074287239033,68.64074287239033,68.64074287239033,68.64074287239033,68.64074287239033,63.19047764538673,73.24001522798375,71.40740173773544,70.15210494133433,75.90720737924106,63.41323398394598,113.11990654684928,115.16689450201777,0.0,129.38364874301067,159.2832013384732,50.56370389610529,191.2241605525805,192.47621021795678
5/8,73.22662902051425,70.91986401896361,72.7396298522928,71.09453373116379,73.33173786365381,70.25375713547841,70.25375713547841,70.24950251718998,70.26494426391287,70.26494426391287,70.26494426391287,70.26494426391287,70.26494426391287,73.7474672499092,72.89617995641822,71.75552553342835,70.0105569458125,68.12123674913505,75.46113637331264,30.373474666824823,54.36141438006295,129.38364874301067,0.0,68.82063600238402,156.57800517921632,68.95441319010968,70.54820185044902
6/4,96.78010656620876,95.98675297980469,96.7674041621568,94.84167866343871,96.20724587232432,96.88655103907695,96.88655103907695,96.91181123058229,96.89999088107824,96.89999088107824,96.89999088107824,96.89999088107824,96.89999088107824,105.70450520065631,96.07111056099109,95.59612015217786,98.41108045712828,93.7224930852163,108.05730889895733,74.58292588956921,80.21937409290334,159.2832013384732,68.82063600238402,0.0,192.55707451717177,71.35823006965666,73.86739253602987
