,mc12,mc6,9/4,6/4,3/4,6/8,9/8,12/4,12/8,mc8,7/4,mc9,7/8,5/4,mc4,5/8,4/4,2/2,mc7,2/4,mc3,mc5,mc2
7/4,17.987699387537617,21.507212299549547,16.99591057158241,18.36675507637721,19.98406530747323,19.521514556398227,17.866506495253958,18.446272707354705,19.17067446996353,19.65309252030103,0.0,19.73567963405563,2.4427129587190586,17.29774172905198,23.96464468079562,18.711955008037986,21.126536338935267,21.126536338935267,8.319980162087745,22.36938103046971,27.787107779719644,23.292650640825517,31.485119494790034
mc9,18.708286933869708,20.493901531919196,10.52997496911535,21.169416084432868,18.863602306564708,22.228117927933784,10.976287895672767,22.70325975727764,23.38587582348263,22.9128784747792,19.73567963405563,0.0,20.75349094324468,20.91515051842962,27.748873851023216,22.243939126410382,25.76577184739933,25.76577184739933,23.664319132398465,26.95105796038624,23.664319132398465,25.92296279363144,35.4964786985977
7/8,19.31262812405109,22.24436172208018,17.807710322550097,18.814916826701467,20.495332605963448,19.875153855897736,18.57845697408884,18.98399306348789,19.650984729138486,20.830137223271425,2.4427129587190586,20.75349094324468,0.0,18.161952629026118,24.832350911413993,19.413508938780016,21.46826011459733,21.46826011459733,7.569506446716221,22.639796644912682,28.10400319541597,23.965776224482774,31.33923614069389
5/4,19.324159691869433,22.087904136170966,17.38305332412552,17.824827723151614,19.738020719772177,18.817164304695858,18.09709192201779,17.73653773736894,18.361290809268578,20.5374556891494,17.29774172905198,20.91515051842962,18.161952629026118,0.0,23.80921883104286,2.8545807211371392,20.0761211292932,20.0761211292932,21.985713376875875,21.202556572887715,27.548866067037522,9.751701647701985,30.17011742336955
mc4,20.493901531919196,25.099800796022265,24.263759074330288,18.452711477167362,24.028753859048933,18.759208097533556,24.89056299524408,13.156076620070605,13.16566875692523,17.74823934929885,23.96464468079562,27.748873851023216,24.832350911413993,23.80921883104286,0.0,25.00522192589559,13.370458921018807,13.370458921018807,28.460498941515414,13.762954476438104,32.4037034920393,29.698484809834994,25.099800796022265
5/8,21.012316858738544,23.095222269284594,18.501639514241212,18.507081403861847,20.48600291309661,19.37134672493801,19.09428551306404,18.54269577821641,19.08960478791456,22.078346308540485,18.711955008037986,22.243939126410382,19.413508938780016,2.8545807211371392,25.00522192589559,0.0,20.61266753713839,20.61266753713839,23.157362898785287,21.63806623888902,28.019408056301927,8.846525447416168,30.0146067648767
4/4,21.507275069144484,21.97276672180963,19.98187734320453,10.353393821168684,18.88114988408391,10.310541562590961,20.256166105877966,5.160388578965741,4.687107787650878,18.064670108169057,21.126536338935267,25.76577184739933,21.46826011459733,20.0761211292932,13.370458921018807,20.61266753713839,0.0,0.0,26.093117645105576,1.8435488673206095,27.97687483862031,26.67221793607858,15.475398582663823
2/2,21.507275069144484,21.97276672180963,19.98187734320453,10.353393821168684,18.88114988408391,10.310541562590961,20.256166105877966,5.160388578965741,4.687107787650878,18.064670108169057,21.126536338935267,25.76577184739933,21.46826011459733,20.0761211292932,13.370458921018807,20.61266753713839,0.0,0.0,26.093117645105576,1.8435488673206095,27.97687483862031,26.67221793607858,15.475398582663823
mc7,22.58317958127243,25.69046515733026,21.702337577119646,23.53741705681455,24.38566103542461,24.53354493949243,22.418257060837796,23.75520897494223,24.379601630577053,24.186773244895647,8.319980162087745,23.664319132398465,7.569506446716221,21.985713376875875,28.460498941515414,23.157362898785287,26.093117645105576,26.093117645105576,0.0,27.192327087081047,30.983866769659336,26.832815729997478,35.4964786985977
2/4,22.73540613010013,22.920623619492535,21.102920812886534,11.228266461381969,19.71931874015798,11.00365162810339,21.313596804954397,6.3045080092247545,5.630034663905703,19.12167827076478,22.36938103046971,26.95105796038624,22.639796644912682,21.202556572887715,13.762954476438104,21.63806623888902,1.8435488673206095,1.8435488673206095,27.192327087081047,0.0,28.59722741405223,27.621301226026034,14.655640604833392
