Meter,2/2,2/4,3/4,4/4,5/4,6/4,7/4,9/4,12/4,5/8,6/8,7/8,9/8,12/8,pm18,pm14,pm10,pm12,pm8,pm16
6/8,16.353206557271825,16.427084826636968,19.138310024481502,16.353206557271825,35.55850362997119,14.09983663424629,25.62511733122233,17.304401555270093,17.749168896501704,21.092569834596933,0.0,36.06434781931511,14.959413871831158,12.524315356422848,24.081764236912015,30.51345852082349,23.798733263906684,5.8070384362021255,16.443057672920688,16.443057672920688
7/8,34.010535245597595,34.057016770868444,30.69617890438257,34.010535245597595,43.07658936140947,36.50422715655989,37.18389094757981,38.67192816632699,37.53756644426048,37.83840210519596,36.06434781931511,0.0,37.222109712419005,37.173356518992804,39.23834341679915,30.24128743427632,39.474012432309316,34.021245085667665,34.0630603144222,34.0630603144222
9/8,18.594701189755288,18.593341538180585,24.481799478143923,18.594701189755288,36.584387410995475,23.000457607124755,29.510552349524016,21.70201885681352,24.246145903897418,24.530438325091687,14.959413871831158,37.222109712419005,0.0,20.705711544837758,20.711959282472186,32.52758927465076,26.612287277197513,16.46878755693057,18.603997672383628,18.603997672383628
12/8,17.850828662621215,17.94303323255838,22.957099465957935,17.850828662621215,36.915252557914904,9.637393043132661,24.828645223407875,20.060721408527883,14.2321979164725,25.55795116789392,12.524315356422848,37.173356518992804,20.705711544837758,0.0,23.753478264821194,30.068494311133097,26.896909719993904,12.51282266534468,17.931504801074638,17.931504801074638
pm18,19.966238524569466,19.94338199949056,32.58974099961324,19.966238524569466,43.21611343730939,26.0592125169583,31.25218473556124,24.983339306008073,25.536203305010794,33.34590382689053,24.081764236912015,39.23834341679915,20.711959282472186,23.753478264821194,0.0,30.133098162987178,34.0458440424998,24.334672055841676,19.938906747396683,19.938906747396683
pm14,19.86751339168723,19.881425614812727,35.212276384286774,19.86751339168723,40.43685051565793,28.926860860298632,31.447723417359708,31.50915417266464,27.568922733226202,27.10116630635744,30.51345852082349,30.24128743427632,32.52758927465076,30.068494311133097,30.133098162987178,0.0,27.79126434868572,28.79317227558482,19.87693641336885,19.87693641336885
pm10,19.70644226936862,19.688023916895983,32.50029463296947,19.70644226936862,28.487850471907297,26.37705327954314,28.954784604490243,26.65234763818275,24.908703127599704,14.474775251288722,23.798733263906684,39.474012432309316,26.612287277197513,26.896909719993904,34.0458440424998,27.79126434868572,0.0,23.592604569938164,19.683490606496733,19.683490606496733
pm12,16.589661368415243,16.69390255421013,16.949559310352193,16.589661368415243,34.384636601189634,13.447276588709425,25.077354427586794,17.09199415971986,17.744975132146173,21.699889331682517,5.8070384362021255,34.021245085667665,16.46878755693057,12.51282266534468,24.334672055841676,28.79317227558482,23.592604569938164,0.0,16.688555934928594,16.688555934928594
pm8,0.5984002533353978,0.42247283489375725,28.523596276963243,0.5984002533353978,35.14326771784524,18.50200164121698,25.347988238011173,19.934063089033614,17.274858561808653,18.457004285366466,16.443057672920688,34.0630603144222,18.603997672383628,17.931504801074638,19.938906747396683,19.87693641336885,19.683490606496733,16.688555934928594,0.0,0.0
pm16,0.5984002533353978,0.42247283489375725,28.523596276963243,0.5984002533353978,35.14326771784524,18.50200164121698,25.347988238011173,19.934063089033614,17.274858561808653,18.457004285366466,16.443057672920688,34.0630603144222,18.603997672383628,17.931504801074638,19.938906747396683,19.87693641336885,19.683490606496733,16.688555934928594,0.0,0.0
