Meter,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c12,c14,c16,bc1,bc2,bc3,bc4,bc6,bc8,bc12,bc24
c12,16.688555934928594,16.688555934928594,20.48020777421953,16.688555934928594,27.50120482718456,14.4253452291444,28.856953678932314,16.688555934928594,23.509526717077993,23.592604569938164,0.0,28.79317227558482,16.688555934928594,16.688555934928594,16.688555934928594,20.48020777421953,16.688555934928594,14.4253452291444,16.688555934928594,0.0,20.116008064341784
c14,19.87693641336885,19.87693641336885,28.854365045899932,19.87693641336885,24.433883919885247,33.09028661041089,14.467877051847013,19.87693641336885,28.099258924162903,27.79126434868572,28.79317227558482,0.0,19.87693641336885,19.87693641336885,19.87693641336885,28.854365045899932,19.87693641336885,33.09028661041089,19.87693641336885,28.79317227558482,28.6212712032575
c16,0.0,0.0,16.738726381615233,0.0,19.78897525928905,18.63718150838853,20.17091388554113,0.0,19.21418459441485,19.683490606496733,16.688555934928594,19.87693641336885,0.0,0.0,0.0,16.738726381615233,0.0,18.63718150838853,0.0,16.688555934928594,18.343713502168537
bc1,0.0,0.0,16.738726381615233,0.0,19.78897525928905,18.63718150838853,20.17091388554113,0.0,19.21418459441485,19.683490606496733,16.688555934928594,19.87693641336885,0.0,0.0,0.0,16.738726381615233,0.0,18.63718150838853,0.0,16.688555934928594,18.343713502168537
bc2,0.0,0.0,16.738726381615233,0.0,19.78897525928905,18.63718150838853,20.17091388554113,0.0,19.21418459441485,19.683490606496733,16.688555934928594,19.87693641336885,0.0,0.0,0.0,16.738726381615233,0.0,18.63718150838853,0.0,16.688555934928594,18.343713502168537
bc3,16.738726381615233,16.738726381615233,0.0,16.738726381615233,31.728530519252132,20.42035224833365,29.38190629258264,16.738726381615233,16.738726381615237,25.594823541534836,20.48020777421953,28.854365045899932,16.738726381615233,16.738726381615233,16.738726381615233,0.0,16.738726381615233,20.42035224833365,16.738726381615233,20.48020777421953,23.75058525549776
bc4,0.0,0.0,16.738726381615233,0.0,19.78897525928905,18.63718150838853,20.17091388554113,0.0,19.21418459441485,19.683490606496733,16.688555934928594,19.87693641336885,0.0,0.0,0.0,16.738726381615233,0.0,18.63718150838853,0.0,16.688555934928594,18.343713502168537
bc6,18.63718150838853,18.63718150838853,20.42035224833365,18.63718150838853,30.337116052808682,0.0,33.247129157389494,18.63718150838853,24.93059329106275,23.951424922399063,14.4253452291444,33.09028661041089,18.63718150838853,18.63718150838853,18.63718150838853,20.42035224833365,18.63718150838853,0.0,18.63718150838853,14.4253452291444,23.664396609809035
bc8,0.0,0.0,16.738726381615233,0.0,19.78897525928905,18.63718150838853,20.17091388554113,0.0,19.21418459441485,19.683490606496733,16.688555934928594,19.87693641336885,0.0,0.0,0.0,16.738726381615233,0.0,18.63718150838853,0.0,16.688555934928594,18.343713502168537
bc12,16.688555934928594,16.688555934928594,20.48020777421953,16.688555934928594,27.50120482718456,14.4253452291444,28.856953678932314,16.688555934928594,23.509526717077993,23.592604569938164,0.0,28.79317227558482,16.688555934928594,16.688555934928594,16.688555934928594,20.48020777421953,16.688555934928594,14.4253452291444,16.688555934928594,0.0,20.116008064341784
