,3/4,9/8,9/4,6/4,mc6,6/8,mc3,12/4,mc12,12/8,mc9,4/4,2/2,2/4,5/4,7/4,5/8,7/8,mc8,mc4,mc7,mc5,mc2
mc9,18.863602306564708,10.976287895672767,10.52997496911535,21.169416084432868,20.493901531919196,22.228117927933784,23.664319132398465,22.70325975727764,18.708286933869708,23.38587582348263,0.0,25.76577184739933,25.76577184739933,26.95105796038624,20.91515051842962,19.73567963405563,22.243939126410382,20.75349094324468,22.9128784747792,27.748873851023216,23.664319132398465,25.92296279363144,35.4964786985977
4/4,18.88114988408391,20.256166105877966,19.98187734320453,10.353393821168684,21.97276672180963,10.310541562590961,27.97687483862031,5.160388578965741,21.507275069144484,4.687107787650878,25.76577184739933,0.0,0.0,1.8435488673206095,20.0761211292932,21.126536338935267,20.61266753713839,21.46826011459733,18.064670108169057,13.370458921018807,26.093117645105576,26.67221793607858,15.475398582663823
2/2,18.88114988408391,20.256166105877966,19.98187734320453,10.353393821168684,21.97276672180963,10.310541562590961,27.97687483862031,5.160388578965741,21.507275069144484,4.687107787650878,25.76577184739933,0.0,0.0,1.8435488673206095,20.0761211292932,21.126536338935267,20.61266753713839,21.46826011459733,18.064670108169057,13.370458921018807,26.093117645105576,26.67221793607858,15.475398582663823
2/4,19.71931874015798,21.313596804954397,21.102920812886534,11.228266461381969,22.920623619492535,11.00365162810339,28.59722741405223,6.3045080092247545,22.73540613010013,5.630034663905703,26.95105796038624,1.8435488673206095,1.8435488673206095,0.0,21.202556572887715,22.36938103046971,21.63806623888902,22.639796644912682,19.12167827076478,13.762954476438104,27.192327087081047,27.621301226026034,14.655640604833392
5/4,19.738020719772177,18.09709192201779,17.38305332412552,17.824827723151614,22.087904136170966,18.817164304695858,27.548866067037522,17.73653773736894,19.324159691869433,18.361290809268578,20.91515051842962,20.0761211292932,20.0761211292932,21.202556572887715,0.0,17.29774172905198,2.8545807211371392,18.161952629026118,20.5374556891494,23.80921883104286,21.985713376875875,9.751701647701985,30.17011742336955
7/4,19.98406530747323,17.866506495253958,16.99591057158241,18.36675507637721,21.507212299549547,19.521514556398227,27.787107779719644,18.446272707354705,17.987699387537617,19.17067446996353,19.73567963405563,21.126536338935267,21.126536338935267,22.36938103046971,17.29774172905198,0.0,18.711955008037986,2.4427129587190586,19.65309252030103,23.96464468079562,8.319980162087745,23.292650640825517,31.485119494790034
5/8,20.48600291309661,19.09428551306404,18.501639514241212,18.507081403861847,23.095222269284594,19.37134672493801,28.019408056301927,18.54269577821641,21.012316858738544,19.08960478791456,22.243939126410382,20.61266753713839,20.61266753713839,21.63806623888902,2.8545807211371392,18.711955008037986,0.0,19.413508938780016,22.078346308540485,25.00522192589559,23.157362898785287,8.846525447416168,30.0146067648767
7/8,20.495332605963448,18.57845697408884,17.807710322550097,18.814916826701467,22.24436172208018,19.875153855897736,28.10400319541597,18.98399306348789,19.31262812405109,19.650984729138486,20.75349094324468,21.46826011459733,21.46826011459733,22.639796644912682,18.161952629026118,2.4427129587190586,19.413508938780016,0.0,20.830137223271425,24.832350911413993,7.569506446716221,23.965776224482774,31.33923614069389
mc8,22.752572286845634,21.730312065442106,20.84143350233301,19.189025898925898,22.9128784747792,20.529163627878088,30.740852297878796,17.17327007544309,17.74823934929885,17.74411824156036,22.9128784747792,18.064670108169057,18.064670108169057,19.12167827076478,20.5374556891494,19.65309252030103,22.078346308540485,20.830137223271425,0.0,17.74823934929885,24.186773244895647,26.324893162176366,30.740852297878796
mc4,24.028753859048933,24.89056299524408,24.263759074330288,18.452711477167362,25.099800796022265,18.759208097533556,32.4037034920393,13.156076620070605,20.493901531919196,13.16566875692523,27.748873851023216,13.370458921018807,13.370458921018807,13.762954476438104,23.80921883104286,23.96464468079562,25.00522192589559,24.832350911413993,17.74823934929885,0.0,28.460498941515414,29.698484809834994,25.099800796022265
