,bc48,4/4,12/8,12/4,2/4,2/2,bc24,6/8,6/4,7/8,5/8,7/4,5/4,3/4,9/8,9/4,bc16,bc12,bc8,bc4
5/8,3.5740680231448256,1.8698820567618504,1.8344233449862666,1.7890006073456262,0.9876091803044088,1.0255077244438382,1.3341131790214578,1.4848781429353266,1.5283393048085658,1.2580760338572454,0.0,1.2627148896448674,0.4375706022570788,1.036425683248763,1.5193086986034823,1.5613240904579364,3.1376196962003577,1.5351779029343833,2.462810187313962,2.5120230026317496
7/4,3.5862274399706635,1.8874821357783789,1.8128754645913847,1.7422420368806026,0.7943838320416364,0.7937740245043746,1.4654881393506707,1.3002813732968839,1.3072110072525434,0.43830894434886936,1.2627148896448674,0.0,1.1170257789784006,0.9010965486695457,1.3594983578925481,1.3628357694233568,2.959788408995173,1.419217888120888,2.2533588000879243,2.2511478991248546
5/4,3.635148855770397,1.8894615156908252,1.8147095446997525,1.744063812679016,0.8289172350122375,0.8263738498055486,1.4653208453166364,1.3167097073577663,1.3224194612052316,1.2627344374709848,0.4375706022570788,1.1170257789784006,0.0,0.8835918590136324,1.3507320383463748,1.3547024843901374,2.98015231080922,1.4185256361043792,2.2532149752985324,2.2508935143767324
3/4,3.6640407415378364,1.9400622495499895,1.8584854623428386,1.7867851795630358,0.7851477758628974,0.7817198372769737,1.4174528252171907,1.2872585565934311,1.2930859423189416,1.0534046921856668,1.036425683248763,0.9010965486695457,0.8835918590136324,0.0,1.0996133551087752,1.1216629584860036,2.982296034385131,1.3707259070105289,2.2293120147496923,2.227400067552585
9/8,3.8066962392524326,2.1898337409543522,1.7867521571984877,1.6979774251729558,1.287080354261953,1.2193395416203483,1.7423531976825697,0.6352283019294499,0.6386823016839822,1.5281930980729352,1.5193086986034823,1.3594983578925481,1.3507320383463748,1.0996133551087752,0.0,0.18715707778275387,2.3752781118903217,1.8225251356259722,1.3161587636900292,1.6371866158288673
9/4,3.8495383569702226,2.22672636034257,1.8258365945167263,1.7259297301710825,1.2916554019967357,1.2090259801707084,1.8305350296252467,0.640543653945031,0.5906356489378884,1.5694078757654704,1.5613240904579364,1.3628357694233568,1.3547024843901374,1.1216629584860036,0.18715707778275387,0.0,2.347568971986651,1.7917291015231243,1.262915419319454,1.527241141744452
bc16,3.9080336836735783,2.9967386545045387,2.564797658947839,2.503210715133178,2.7751400644519895,2.7158898796070545,3.411211461689767,2.170775674058556,2.1559699630089377,3.1159137030684323,3.1376196962003577,2.959788408995173,2.98015231080922,2.982296034385131,2.3752781118903217,2.347568971986651,0.0,3.140137754347581,2.0,2.449489742783178
bc12,4.161638968079073,2.4912737073317555,2.4433736069101064,2.36595001438284,1.3321628661612053,1.2925947087325136,2.383878198287533,1.8063242723819102,1.7769139460318262,1.5359393198265974,1.5351779029343833,1.419217888120888,1.4185256361043792,1.3707259070105289,1.8225251356259722,1.7917291015231243,3.140137754347581,0.0,2.420839754357787,1.9883380930045633
bc8,4.390071442781686,2.9525805869692636,2.4395604317236406,2.3447982212527827,2.2091462564967204,2.1184164821687292,2.7633971188310302,1.3109829769880035,1.2589516977599038,2.463117746962628,2.462810187313962,2.2533588000879243,2.2532149752985324,2.2293120147496923,1.3161587636900292,1.262915419319454,2.0,2.420839754357787,0.0,1.4142135623730951
bc4,4.6122366887148445,3.1166874275784666,2.712765879466653,2.6005825517239076,2.2071441381463903,2.0893034932637047,3.104249287084341,1.6396568370687472,1.5327130863435379,2.5124884012234587,2.5120230026317496,2.2511478991248546,2.2508935143767324,2.227400067552585,1.6371866158288673,1.527241141744452,2.449489742783178,1.9883380930045633,1.4142135623730951,0.0
