,2/2,4/4,2/4,12/8,12/4,mc4,6/4,6/8,mc12,3/4,5/4,7/4,9/4,9/8,7/8,5/8,mc6,mc2,mc9,mc7,mc5,mc3
7/4,18.531488143447632,18.531488143447632,20.432638316559068,16.1008094422056,15.148730644511849,23.94673519076412,15.987991420246253,17.599372090036468,16.671365560905063,18.49427183331001,15.976504706936229,0.0,15.13096304180077,16.419225724446804,4.035919429701342,18.292739106952205,21.226679692094617,33.03571748203649,19.134725382156464,11.10965289360715,23.55642211226509,28.94919659769878
9/4,18.756202723556733,18.756202723556733,20.606391956748524,14.852697129715358,13.983140511907854,24.329736473819484,12.222156318954232,13.59182063674927,13.375779297477802,11.971213276339038,16.18734831601945,15.13096304180077,0.0,2.4931627668755807,16.80714054932685,18.34320045943426,15.733894405265563,32.76628591157731,7.60678921337383,20.69546513991882,23.24440142837906,21.382970631062843
9/8,19.58647853940566,19.58647853940566,21.319057023663355,15.933981797435711,15.165355579401135,25.13328864559434,13.014232237740613,14.16037109035267,14.825116521810825,12.23664528266398,17.321713947527506,16.419225724446804,2.4931627668755807,0.0,17.887017751380654,19.2381850415207,15.621762778624763,32.67775556592913,6.806290423891939,21.510645918464274,23.865866168605685,20.480322522510527
7/8,19.775593415326878,19.775593415326878,21.515040509911433,17.619407191074455,16.789282680970107,25.23363977384038,17.31566855310849,18.726219458784566,18.50831757229775,19.70690229210857,17.580618575116052,4.035919429701342,16.80714054932685,17.887017751380654,0.0,19.535243833702477,22.12797319675895,32.83298206916804,20.485574341396806,9.544094650238778,24.474701392261274,29.4625081494354
5/8,19.999131836606924,19.999131836606924,21.519233388816758,18.238721183255215,17.57208028031585,25.309666684671818,18.13961597314207,19.297488147436397,19.896499757395688,20.528262523074492,4.725716542773109,18.292739106952205,18.34320045943426,19.2381850415207,19.535243833702477,0.0,22.764555017452395,31.74337750348719,21.813239365864465,23.100166432899325,11.286552287332164,29.67186133019877
mc6,20.142513275829234,20.142513275829234,21.23956177266419,15.757725783160085,15.60759852722059,25.099800796022265,9.249464020700085,8.358244800507867,14.491376746189438,7.509149042086153,21.53413032976607,21.226679692094617,15.733894405265563,15.621762778624763,22.12797319675895,22.764555017452395,0.0,28.982753492378876,20.493901531919196,25.69046515733026,27.49545416973504,20.493901531919196
mc2,21.774243198303047,21.774243198303047,20.55116957878713,24.13097351929087,24.906183503698298,25.099800796022265,25.886957514774892,24.789248460507842,32.4037034920393,29.618898295687202,32.02201940411333,33.03571748203649,32.76628591157731,32.67775556592913,32.83298206916804,31.74337750348719,28.982753492378876,0.0,35.4964786985977,35.4964786985977,35.4964786985977,35.4964786985977
mc9,22.741955062401594,22.741955062401594,24.377247038185402,19.73986563309219,19.01241661627638,27.748873851023216,17.816281613825787,18.927232938907636,18.708286933869708,17.31284621361461,20.034606365616376,19.134725382156464,7.60678921337383,6.806290423891939,20.485574341396806,21.813239365864465,20.493901531919196,35.4964786985977,0.0,23.664319132398465,25.92296279363144,23.664319132398465
mc7,23.639325057444356,23.639325057444356,25.120410530704994,21.854479682416933,21.185714741856916,28.460498941515414,21.609474483866297,22.76397555958985,22.58317958127243,23.164757036545428,21.53642260240651,11.10965289360715,20.69546513991882,21.510645918464274,9.544094650238778,23.100166432899325,25.69046515733026,35.4964786985977,23.664319132398465,0.0,26.832815729997478,30.983866769659336
mc5,25.174109588458503,25.174109588458503,26.405449417836813,23.787773900347858,23.27571504874022,29.698484809834994,23.713354719157433,24.618813650435758,25.099800796022265,25.06522724094437,13.115183188376964,23.55642211226509,23.24440142837906,23.865866168605685,24.474701392261274,11.286552287332164,27.49545416973504,35.4964786985977,25.92296279363144,26.832815729997478,0.0,31.74901573277509
mc3,28.43492049995665,28.43492049995665,29.184655859779593,25.59198792559372,25.521930727513766,32.4037034920393,22.250616160688484,21.857728267187202,25.099800796022265,16.860908496117275,28.955306529459246,28.94919659769878,21.382970631062843,20.480322522510527,29.4625081494354,29.67186133019877,20.493901531919196,35.4964786985977,23.664319132398465,30.983866769659336,31.74901573277509,0.0
