,7/4,7/8,mc7,9/4,5/4,9/8,mc12,6/4,12/4,5/8,12/8,6/8,mc9,3/4,4/4,2/2,mc6,2/4,mc5,mc4,mc3,mc2
mc9,19.73567963405563,20.75349094324468,23.664319132398465,10.52997496911535,20.91515051842962,10.976287895672767,18.708286933869708,21.169416084432868,22.70325975727764,22.243939126410382,23.38587582348263,22.228117927933784,0.0,18.863602306564708,25.76577184739933,25.76577184739933,20.493901531919196,26.95105796038624,25.92296279363144,27.748873851023216,23.664319132398465,35.4964786985977
3/4,19.98406530747323,20.495332605963448,24.38566103542461,9.371251924922923,19.738020719772177,9.170976670922379,15.747319750278555,11.318237560650331,15.466636498301206,20.48600291309661,15.81787560594014,11.685041766761138,18.863602306564708,0.0,18.88114988408391,18.88114988408391,11.543337910270731,19.71931874015798,25.48202146733009,24.028753859048933,12.31057745622331,28.17961344738517
4/4,21.126536338935267,21.46826011459733,26.093117645105576,19.98187734320453,20.0761211292932,20.256166105877966,21.507275069144484,10.353393821168684,5.160388578965741,20.61266753713839,4.687107787650878,10.310541562590961,25.76577184739933,18.88114988408391,0.0,0.0,21.97276672180963,1.8435488673206095,26.67221793607858,13.370458921018807,27.97687483862031,15.475398582663823
2/2,21.126536338935267,21.46826011459733,26.093117645105576,19.98187734320453,20.0761211292932,20.256166105877966,21.507275069144484,10.353393821168684,5.160388578965741,20.61266753713839,4.687107787650878,10.310541562590961,25.76577184739933,18.88114988408391,0.0,0.0,21.97276672180963,1.8435488673206095,26.67221793607858,13.370458921018807,27.97687483862031,15.475398582663823
mc6,21.507212299549547,22.24436172208018,25.69046515733026,15.185274801765173,22.087904136170966,15.444209218650991,14.491376746189438,12.917888763141859,18.27149803230125,23.095222269284594,18.73008404478359,13.457851417599567,20.493901531919196,11.543337910270731,21.97276672180963,21.97276672180963,0.0,22.920623619492535,27.49545416973504,25.099800796022265,20.493901531919196,28.982753492378876
2/4,22.36938103046971,22.639796644912682,27.192327087081047,21.102920812886534,21.202556572887715,21.313596804954397,22.73540613010013,11.228266461381969,6.3045080092247545,21.63806623888902,5.630034663905703,11.00365162810339,26.95105796038624,19.71931874015798,1.8435488673206095,1.8435488673206095,22.920623619492535,0.0,27.621301226026034,13.762954476438104,28.59722741405223,14.655640604833392
mc5,23.292650640825517,23.965776224482774,26.832815729997478,23.396319374142724,9.751701647701985,23.95120936451877,25.099800796022265,24.60390859957022,24.723891915356436,8.846525447416168,25.237880918156065,25.4216180875216,25.92296279363144,25.48202146733009,26.67221793607858,26.67221793607858,27.49545416973504,27.621301226026034,0.0,29.698484809834994,31.74901573277509,35.4964786985977
mc4,23.96464468079562,24.832350911413993,28.460498941515414,24.263759074330288,23.80921883104286,24.89056299524408,20.493901531919196,18.452711477167362,13.156076620070605,25.00522192589559,13.16566875692523,18.759208097533556,27.748873851023216,24.028753859048933,13.370458921018807,13.370458921018807,25.099800796022265,13.762954476438104,29.698484809834994,0.0,32.4037034920393,25.099800796022265
mc3,27.787107779719644,28.10400319541597,30.983866769659336,15.708281143665182,27.548866067037522,14.933256131143402,25.099800796022265,22.20639799703207,25.544050069011647,28.019408056301927,25.785575437242628,22.367324822310767,23.664319132398465,12.31057745622331,27.97687483862031,27.97687483862031,20.493901531919196,28.59722741405223,31.74901573277509,32.4037034920393,0.0,35.4964786985977
mc2,31.485119494790034,31.33923614069389,35.4964786985977,30.302856145887514,30.17011742336955,30.235863700870926,32.4037034920393,18.757410620094124,17.79284465202101,30.0146067648767,17.172555090635655,17.79694046739368,35.4964786985977,28.17961344738517,15.475398582663823,15.475398582663823,28.982753492378876,14.655640604833392,35.4964786985977,25.099800796022265,35.4964786985977,0.0
