,9/8,9/4,3/4,mc9,6/4,mc3,6/8,mc6,mc12,12/4,12/8,7/4,5/4,7/8,5/8,4/4,2/2,2/4,mc7,mc5,mc4,mc2
12/8,17.68040095805835,17.286250771000123,15.81787560594014,23.38587582348263,7.015829783950621,25.785575437242628,7.201800772677564,18.73008404478359,17.611488809111773,1.0486824967566328,0.0,19.17067446996353,18.361290809268578,19.650984729138486,19.08960478791456,4.687107787650878,4.687107787650878,5.630034663905703,24.379601630577053,25.237880918156065,13.16566875692523,17.172555090635655
7/4,17.866506495253958,16.99591057158241,19.98406530747323,19.73567963405563,18.36675507637721,27.787107779719644,19.521514556398227,21.507212299549547,17.987699387537617,18.446272707354705,19.17067446996353,0.0,17.29774172905198,2.4427129587190586,18.711955008037986,21.126536338935267,21.126536338935267,22.36938103046971,8.319980162087745,23.292650640825517,23.96464468079562,31.485119494790034
5/4,18.09709192201779,17.38305332412552,19.738020719772177,20.91515051842962,17.824827723151614,27.548866067037522,18.817164304695858,22.087904136170966,19.324159691869433,17.73653773736894,18.361290809268578,17.29774172905198,0.0,18.161952629026118,2.8545807211371392,20.0761211292932,20.0761211292932,21.202556572887715,21.985713376875875,9.751701647701985,23.80921883104286,30.17011742336955
7/8,18.57845697408884,17.807710322550097,20.495332605963448,20.75349094324468,18.814916826701467,28.10400319541597,19.875153855897736,22.24436172208018,19.31262812405109,18.98399306348789,19.650984729138486,2.4427129587190586,18.161952629026118,0.0,19.413508938780016,21.46826011459733,21.46826011459733,22.639796644912682,7.569506446716221,23.965776224482774,24.832350911413993,31.33923614069389
5/8,19.09428551306404,18.501639514241212,20.48600291309661,22.243939126410382,18.507081403861847,28.019408056301927,19.37134672493801,23.095222269284594,21.012316858738544,18.54269577821641,19.08960478791456,18.711955008037986,2.8545807211371392,19.413508938780016,0.0,20.61266753713839,20.61266753713839,21.63806623888902,23.157362898785287,8.846525447416168,25.00522192589559,30.0146067648767
4/4,20.256166105877966,19.98187734320453,18.88114988408391,25.76577184739933,10.353393821168684,27.97687483862031,10.310541562590961,21.97276672180963,21.507275069144484,5.160388578965741,4.687107787650878,21.126536338935267,20.0761211292932,21.46826011459733,20.61266753713839,0.0,0.0,1.8435488673206095,26.093117645105576,26.67221793607858,13.370458921018807,15.475398582663823
2/2,20.256166105877966,19.98187734320453,18.88114988408391,25.76577184739933,10.353393821168684,27.97687483862031,10.310541562590961,21.97276672180963,21.507275069144484,5.160388578965741,4.687107787650878,21.126536338935267,20.0761211292932,21.46826011459733,20.61266753713839,0.0,0.0,1.8435488673206095,26.093117645105576,26.67221793607858,13.370458921018807,15.475398582663823
2/4,21.313596804954397,21.102920812886534,19.71931874015798,26.95105796038624,11.228266461381969,28.59722741405223,11.00365162810339,22.920623619492535,22.73540613010013,6.3045080092247545,5.630034663905703,22.36938103046971,21.202556572887715,22.639796644912682,21.63806623888902,1.8435488673206095,1.8435488673206095,0.0,27.192327087081047,27.621301226026034,13.762954476438104,14.655640604833392
mc7,22.418257060837796,21.702337577119646,24.38566103542461,23.664319132398465,23.53741705681455,30.983866769659336,24.53354493949243,25.69046515733026,22.58317958127243,23.75520897494223,24.379601630577053,8.319980162087745,21.985713376875875,7.569506446716221,23.157362898785287,26.093117645105576,26.093117645105576,27.192327087081047,0.0,26.832815729997478,28.460498941515414,35.4964786985977
mc5,23.95120936451877,23.396319374142724,25.48202146733009,25.92296279363144,24.60390859957022,31.74901573277509,25.4216180875216,27.49545416973504,25.099800796022265,24.723891915356436,25.237880918156065,23.292650640825517,9.751701647701985,23.965776224482774,8.846525447416168,26.67221793607858,26.67221793607858,27.621301226026034,26.832815729997478,0.0,29.698484809834994,35.4964786985977
