,5/4,5/8,mc5,7/4,9/4,12/4,6/4,9/8,7/8,12/8,6/8,mc12,3/4,4/4,2/2,mc9,2/4,mc7,mc6,mc4,mc3,mc2
3/4,19.738020719772177,20.48600291309661,25.48202146733009,19.98406530747323,9.371251924922923,15.466636498301206,11.318237560650331,9.170976670922379,20.495332605963448,15.81787560594014,11.685041766761138,15.747319750278555,0.0,18.88114988408391,18.88114988408391,18.863602306564708,19.71931874015798,24.38566103542461,11.543337910270731,24.028753859048933,12.31057745622331,28.17961344738517
4/4,20.0761211292932,20.61266753713839,26.67221793607858,21.126536338935267,19.98187734320453,5.160388578965741,10.353393821168684,20.256166105877966,21.46826011459733,4.687107787650878,10.310541562590961,21.507275069144484,18.88114988408391,0.0,0.0,25.76577184739933,1.8435488673206095,26.093117645105576,21.97276672180963,13.370458921018807,27.97687483862031,15.475398582663823
2/2,20.0761211292932,20.61266753713839,26.67221793607858,21.126536338935267,19.98187734320453,5.160388578965741,10.353393821168684,20.256166105877966,21.46826011459733,4.687107787650878,10.310541562590961,21.507275069144484,18.88114988408391,0.0,0.0,25.76577184739933,1.8435488673206095,26.093117645105576,21.97276672180963,13.370458921018807,27.97687483862031,15.475398582663823
mc9,20.91515051842962,22.243939126410382,25.92296279363144,19.73567963405563,10.52997496911535,22.70325975727764,21.169416084432868,10.976287895672767,20.75349094324468,23.38587582348263,22.228117927933784,18.708286933869708,18.863602306564708,25.76577184739933,25.76577184739933,0.0,26.95105796038624,23.664319132398465,20.493901531919196,27.748873851023216,23.664319132398465,35.4964786985977
2/4,21.202556572887715,21.63806623888902,27.621301226026034,22.36938103046971,21.102920812886534,6.3045080092247545,11.228266461381969,21.313596804954397,22.639796644912682,5.630034663905703,11.00365162810339,22.73540613010013,19.71931874015798,1.8435488673206095,1.8435488673206095,26.95105796038624,0.0,27.192327087081047,22.920623619492535,13.762954476438104,28.59722741405223,14.655640604833392
mc7,21.985713376875875,23.157362898785287,26.832815729997478,8.319980162087745,21.702337577119646,23.75520897494223,23.53741705681455,22.418257060837796,7.569506446716221,24.379601630577053,24.53354493949243,22.58317958127243,24.38566103542461,26.093117645105576,26.093117645105576,23.664319132398465,27.192327087081047,0.0,25.69046515733026,28.460498941515414,30.983866769659336,35.4964786985977
mc6,22.087904136170966,23.095222269284594,27.49545416973504,21.507212299549547,15.185274801765173,18.27149803230125,12.917888763141859,15.444209218650991,22.24436172208018,18.73008404478359,13.457851417599567,14.491376746189438,11.543337910270731,21.97276672180963,21.97276672180963,20.493901531919196,22.920623619492535,25.69046515733026,0.0,25.099800796022265,20.493901531919196,28.982753492378876
mc4,23.80921883104286,25.00522192589559,29.698484809834994,23.96464468079562,24.263759074330288,13.156076620070605,18.452711477167362,24.89056299524408,24.832350911413993,13.16566875692523,18.759208097533556,20.493901531919196,24.028753859048933,13.370458921018807,13.370458921018807,27.748873851023216,13.762954476438104,28.460498941515414,25.099800796022265,0.0,32.4037034920393,25.099800796022265
mc3,27.548866067037522,28.019408056301927,31.74901573277509,27.787107779719644,15.708281143665182,25.544050069011647,22.20639799703207,14.933256131143402,28.10400319541597,25.785575437242628,22.367324822310767,25.099800796022265,12.31057745622331,27.97687483862031,27.97687483862031,23.664319132398465,28.59722741405223,30.983866769659336,20.493901531919196,32.4037034920393,0.0,35.4964786985977
mc2,30.17011742336955,30.0146067648767,35.4964786985977,31.485119494790034,30.302856145887514,17.79284465202101,18.757410620094124,30.235863700870926,31.33923614069389,17.172555090635655,17.79694046739368,32.4037034920393,28.17961344738517,15.475398582663823,15.475398582663823,35.4964786985977,14.655640604833392,35.4964786985977,28.982753492378876,25.099800796022265,35.4964786985977,0.0
