,c8,c4,c2,2/4,2/2,4/4,6/8,c12,c3,12/4,12/8,5/8,6/4,9/8,c6,9/4,7/4,3/4,7/8,5/4
12/8,17.931504801074638,17.931504801074638,17.931504801074638,17.94303323255838,17.850828662621215,17.850828662621215,12.524315356422848,12.51282266534468,21.599640050393543,14.2321979164725,0.0,25.55795116789392,9.637393043132661,20.705711544837758,17.619181300923326,20.060721408527883,24.828645223407875,22.957099465957935,37.173356518992804,36.915252557914904
5/8,18.457004285366466,18.457004285366466,18.457004285366466,18.477226060803872,18.46107393830861,18.46107393830861,21.092569834596933,21.699889331682517,23.64756809627998,24.402031991131086,25.55795116789392,0.0,24.89383483838249,24.530438325091687,21.96947311156521,25.672642935938065,29.55751784145341,29.156415720450376,37.83840210519596,30.85212169450442
6/4,18.50200164121698,18.50200164121698,18.50200164121698,18.50578478805124,18.401404183515773,18.401404183515773,14.09983663424629,13.447276588709425,22.508173060087884,11.238987135435892,9.637393043132661,24.89383483838249,0.0,23.000457607124755,19.426713822445752,21.32478376973932,24.761561058104085,22.898955162697447,36.50422715655989,36.204678305421304
9/8,18.603997672383628,18.603997672383628,18.603997672383628,18.593341538180585,18.594701189755288,18.594701189755288,14.959413871831158,16.46878755693057,21.41791435227951,24.246145903897418,20.705711544837758,24.530438325091687,23.000457607124755,0.0,14.821969685768602,21.70201885681352,29.510552349524016,24.481799478143923,37.222109712419005,36.584387410995475
c6,18.63718150838853,18.63718150838853,18.63718150838853,18.617480552722668,18.578506662781944,18.578506662781944,10.528083137635672,14.4253452291444,20.42035224833365,21.433103355061352,17.619181300923326,21.96947311156521,19.426713822445752,14.821969685768602,0.0,21.495676523734478,27.72584539043654,24.51779475602692,38.73330130886836,34.30162867422132
9/4,19.934063089033614,19.934063089033614,19.934063089033614,19.937734219401737,19.978995049958215,19.978995049958215,17.304401555270093,17.09199415971986,23.985603366378804,20.24135471340572,20.060721408527883,25.672642935938065,21.32478376973932,21.70201885681352,21.495676523734478,0.0,30.88208204869528,26.149157591027354,38.67192816632699,37.541295556916005
7/4,25.347988238011173,25.347988238011173,25.347988238011173,25.34666740515811,25.265820088582135,25.265820088582135,25.62511733122233,25.077354427586794,28.49227524949842,27.69901165497887,24.828645223407875,29.55751784145341,24.761561058104085,29.510552349524016,27.72584539043654,30.88208204869528,0.0,27.936758925379312,37.18389094757981,33.918231983026736
3/4,28.523596276963243,28.523596276963243,28.523596276963243,28.523456686478596,28.432970106639296,28.432970106639296,19.138310024481502,16.949559310352193,29.270809188141307,27.24092276646472,22.957099465957935,29.156415720450376,22.898955162697447,24.481799478143923,24.51779475602692,26.149157591027354,27.936758925379312,0.0,30.69617890438257,34.125076228529075
7/8,34.0630603144222,34.0630603144222,34.0630603144222,34.057016770868444,34.010535245597595,34.010535245597595,36.06434781931511,34.021245085667665,42.709933591496714,37.53756644426048,37.173356518992804,37.83840210519596,36.50422715655989,37.222109712419005,38.73330130886836,38.67192816632699,37.18389094757981,30.69617890438257,0.0,43.07658936140947
5/4,35.14326771784524,35.14326771784524,35.14326771784524,35.18845094481881,35.1561443320996,35.1561443320996,35.55850362997119,34.384636601189634,38.96976251498342,35.95347786062469,36.915252557914904,30.85212169450442,36.204678305421304,36.584387410995475,34.30162867422132,37.541295556916005,33.918231983026736,34.125076228529075,43.07658936140947,0.0
