,4/4,12/4b,10/4,2/4,7/4,5/4,10/8a,3/4,6/4,9/4,7/8,5/8,6/8b,10/8b,6/8a,9/8b,9/8a,2/2,12/8b,12/8a,12/4a
7/8,1.8035095780801293,1.6872978897031137,1.8174211863144856,1.0336491365103875,1.0157975716917573,1.053802937674042,1.053802937674042,1.0587808869759048,1.9461481984049827,1.9119475690366647,0.0,0.5975550793284727,0.8839827462414087,0.7131994723699194,1.2667181432820829,0.9085040753866623,1.2376355688236396,1.5756831036287524,1.6091876376835106,2.200406455944454,3.132835605374081
5/8,1.8152020600054948,1.696936768566181,1.7833837233053227,1.0534660545050554,1.081233203732284,0.9634716499527247,0.9634716499527247,1.0707851960286467,1.9444069799686436,1.9130065770912463,0.5975550793284727,0.0,0.881452428852668,0.4695489922448984,1.2513223545095362,0.8951272448866539,1.2344259330152407,1.5704332540414923,1.596296067043973,2.197350005898082,3.1434481758720914
6/8b,1.8225429398184847,1.4923505990063932,1.859522954308894,1.078734276016924,1.140406630987572,1.1205098192257787,1.1205098192257787,1.1066265525474235,1.9790179948826347,1.960077337926201,0.8839827462414087,0.881452428852668,0.0,0.6678496705067324,1.4098643422308863,0.35056838578703725,1.4349325441292493,0.8126185888695411,1.5592667606897161,2.285260691002939,3.2197096216234473
10/8b,1.871086499361601,1.6657091536075659,1.8566817086083478,1.1259611358321542,1.1611861721664736,1.0729222549411739,1.0729222549411739,1.1453560605602213,2.0008569318113065,1.973811354079648,0.7131994723699194,0.4695489922448984,0.6678496705067324,0.0,1.3198684806253709,0.682513704164898,1.3086057288741513,1.3009293762302883,1.4934236397113962,2.250040091032031,3.199268714422429
6/8a,1.9584234941929715,1.8669293689837123,1.9391158267756463,1.3982484784003348,1.4060063181018136,1.3834709042645073,1.3834709042645073,1.0918389809711666,1.3155538367700002,1.3034422997790829,1.2667181432820829,1.2513223545095362,1.4098643422308863,1.3198684806253709,0.0,1.23502658106067,0.5427255214198404,1.913731929886804,0.6843333395095302,1.1807403264165564,2.4882067683668057
9/8b,1.9771030288125258,1.6651029514472815,2.0021770954625246,1.2640425699430369,1.312237240744413,1.2924778924403264,1.2924778924403264,1.2332968127468003,1.9965339153108976,1.9795964483605193,0.9085040753866623,0.8951272448866539,0.35056838578703725,0.682513704164898,1.23502658106067,0.0,1.2332103511013706,0.8892722547338104,1.3545505161513953,2.167264411199417,3.194007017842136
9/8a,2.044376832954547,1.9593544201915571,2.0173615971016408,1.4915393662574374,1.4849758953900614,1.4645840027070967,1.4645840027070967,1.3058913961755894,1.6629461701744928,1.5874113825990068,1.2376355688236396,1.2344259330152407,1.4349325441292493,1.3086057288741513,0.5427255214198404,1.2332103511013706,0.0,1.9493845513780577,0.8806960136450241,1.512832933339989,2.739328441644258
2/2,2.158718078868965,1.6919842625100043,2.200916077101678,1.6328748374235373,1.70839376262084,1.6995253356176132,1.6995253356176132,1.6835475349684208,2.3391482805040105,2.341066873318668,1.5756831036287524,1.5704332540414923,0.8126185888695411,1.3009293762302883,1.913731929886804,0.8892722547338104,1.9493845513780577,0.0,1.8952773916087038,2.612424450560738,3.450936552283531
12/8b,2.185225840833791,2.0198202782015997,2.1649339558748935,1.7130973923023942,1.7161961022292185,1.7005186226494842,1.7005186226494842,1.4371260038987013,1.5082243128889132,1.5033261498472372,1.6091876376835106,1.596296067043973,1.5592667606897161,1.4934236397113962,0.6843333395095302,1.3545505161513953,0.8806960136450241,1.8952773916087038,0.0,1.2686587150951028,2.5466607554638587
12/8a,2.229580934300305,2.2080041267018764,2.1787009195070786,2.034750955129863,2.0618660109336355,2.0564562392180608,2.0564562392180608,1.6829749068488857,0.8664033543001444,1.0897799950020688,2.200406455944454,2.197350005898082,2.285260691002939,2.250040091032031,1.1807403264165564,2.167264411199417,1.512832933339989,2.612424450560738,1.2686587150951028,0.0,1.5013292591638256
12/4a,2.5715919353141174,2.646922706646204,2.5292878733112856,2.765390474346215,2.81096146647867,2.8342975630863916,2.8342975630863916,2.5540869786130265,1.5353459599547132,1.8940337832001044,3.132835605374081,3.1434481758720914,3.2197096216234473,3.199268714422429,2.4882067683668057,3.194007017842136,2.739328441644258,3.450936552283531,2.5466607554638587,1.5013292591638256,0.0
