Meter,2/2,2/4,3/4,4/4,5/4,6/4,7/4,9/4,12/4,5/8,6/8,7/8,9/8,12/8,mc2,mc3,mc4,mc5,mc6,mc7,mc9,mc12
6/8,10.677092441429785,11.365135705328331,12.052538473888786,10.677092441429785,19.604234228566394,1.8811779714835335,20.150779115575627,15.654507192452494,7.548454759844436,20.238657056919056,0.0,20.575231357638366,15.85703544511221,7.631575177087407,18.049720995551738,22.368338260853704,18.796929581539466,25.4849748818156,13.457851417599672,24.580451535378046,22.228457861486135,16.762614058487994
7/8,22.18887693224682,23.365417534055833,21.446365909140265,22.18887693224682,19.184615795139155,19.50300382629424,2.490889871784531,18.727166259293707,19.68202040085687,20.492697809222566,20.575231357638366,0.0,19.528819886163394,20.355910023319595,31.760447088720877,28.764688733875957,25.0985017577592,24.43157431381104,22.44261692005873,7.569506446716241,21.05306376233494,19.426973978382932
9/8,20.82918391605587,21.891361502408273,9.489782722181987,20.82918391605587,19.174139882512247,15.023290199157492,18.744115860229392,1.5947918015117324,17.6271120552937,20.243109419546794,15.85703544511221,19.528819886163394,0.0,18.191014429022797,30.616060478378238,15.164388966473172,25.12186256946835,24.18640449428449,15.479428189751802,22.597902586653852,10.97628789567274,16.800081782307835
12/8,4.84048095780328,5.75826350180742,16.210790496910796,4.84048095780328,19.142113314409652,7.424845305938547,19.81184217095591,17.769937767066796,1.0576208203615114,19.963754085277415,7.631575177087407,20.355910023319595,18.191014429022797,0.0,17.215224108941136,25.849267802856982,13.206129366129563,25.298480204844825,18.73015129416137,24.42442327682613,23.40930234905308,17.611488809111723
mc2,15.50691087370081,14.68622656456805,28.264770983053857,15.50691087370081,30.62934236021048,18.984634977192645,31.858215481062963,30.65493124487584,17.832927476977627,30.532949619907274,18.049720995551738,31.760447088720877,30.616060478378238,17.215224108941136,0.0,35.4964786985977,25.099800796022265,35.4964786985977,28.982753492378876,35.4964786985977,35.4964786985977,32.4037034920393
mc3,28.076679957571947,28.699960623944555,12.33857754858328,28.076679957571947,28.275513672763505,22.20964008262533,28.381561424237997,15.91578925528318,25.60590249905135,28.821368269081926,22.368338260853704,28.764688733875957,15.164388966473172,25.849267802856982,35.4964786985977,0.0,32.4037034920393,31.74901573277509,20.493901531919196,30.983866769659336,23.664319132398465,25.099800796022265
mc4,13.373955756014666,13.762954476438082,24.09984219086098,13.373955756014666,24.07472673333492,18.488724032444857,24.178037515426563,24.487674309732625,13.19569482882152,25.31705591462186,18.796929581539466,25.0985017577592,25.12186256946835,13.206129366129563,25.099800796022265,32.4037034920393,0.0,29.698484809834994,25.099800796022265,28.460498941515414,27.748873851023216,20.493901531919196
mc5,26.73506814377198,27.685159848659584,25.75053424851614,26.73506814377198,9.775662651907373,24.665450116938885,23.71879794477727,23.620077978476314,24.783181235089067,8.846525447416175,25.4849748818156,24.43157431381104,24.18640449428449,25.298480204844825,35.4964786985977,31.74901573277509,29.698484809834994,0.0,27.49545416973504,26.832815729997478,25.92296279363144,25.099800796022265
mc6,21.98017103198389,22.927148467025702,11.543337910270642,21.98017103198389,22.29758698054653,12.921756792201244,21.689580345796823,15.218809646569408,18.272025101210236,23.320607969809142,13.457851417599672,22.44261692005873,15.479428189751802,18.73015129416137,28.982753492378876,20.493901531919196,25.099800796022265,27.49545416973504,0.0,25.69046515733026,20.493901531919196,14.491376746189438
mc7,26.13902067845676,27.238674026387166,24.586309282824825,26.13902067845676,22.37758797313625,23.58337964215154,8.341167450813243,21.87477938318435,23.79929734121053,23.57539976395407,24.580451535378046,7.569506446716241,22.597902586653852,24.42442327682613,35.4964786985977,30.983866769659336,28.460498941515414,26.832815729997478,25.69046515733026,0.0,23.664319132398465,22.58317958127243
mc9,25.80193421936167,26.987434728018954,18.86969929593839,25.80193421936167,21.235938214143548,21.170549769783978,20.015667379749225,10.533548601886908,22.726473253909756,22.58290300688284,22.228457861486135,21.05306376233494,10.97628789567274,23.40930234905308,35.4964786985977,23.664319132398465,27.748873851023216,25.92296279363144,20.493901531919196,23.664319132398465,0.0,18.708286933869708
mc12,21.50799977918852,22.73540613010027,15.747319750278402,21.50799977918852,19.433502080435527,15.656009486381988,18.082637078975846,15.67130727842314,16.90871337027174,21.136418617612605,16.762614058487994,19.426973978382932,16.800081782307835,17.611488809111723,32.4037034920393,25.099800796022265,20.493901531919196,25.099800796022265,14.491376746189438,22.58317958127243,18.708286933869708,0.0
