,bc24,6/8,6/4,2/4,2/2,5/8,5/4,bc48,9/8,9/4,4/4,3/4,7/8,7/4,bc8,bc4,bc16,12/8,12/4,bc12
4/4,16.037747696780855,11.28344039508639,11.282811674395193,12.245661643465748,12.262429079719205,16.393690096262397,16.410347637831,11.458413310093674,18.42366258351994,18.42306882095588,0.0,16.70573267231576,17.620692566203356,17.657037815202585,17.83270770573841,17.83270770573841,17.83270770573841,11.75198360527316,11.75139858981556,19.477864685334172
3/4,16.4936823061671,16.067330323462215,16.07069673664522,16.78539969070689,16.754782826944428,16.23555057577915,16.147189427096983,17.98096315247232,9.578912003015876,9.580027917893737,16.70573267231576,0.0,18.882717758438968,19.02982227145539,18.441503713272436,18.441503713272436,18.441503713272436,19.907667207721715,19.908149675302838,18.976483274721954
7/8,18.147832134744633,16.518507312878985,16.5195260249062,16.36306345389738,16.424598790861626,17.028098768411212,17.107936003998883,18.092618027234728,17.141362254184585,17.142742529157847,17.620692566203356,18.882717758438968,0.0,1.3672125465302953,19.574818470918142,19.574818470918142,19.574818470918142,20.49782686816184,20.497933907194227,20.480863226664408
7/4,18.208466656667337,16.59726391809414,16.596165755682783,16.455206817581992,16.52334500958803,17.098040149791597,17.17691797274757,18.16561501348286,17.266593381186848,17.267564185501048,17.657037815202585,19.02982227145539,1.3672125465302953,0.0,19.639320663359058,19.639320663359058,19.639320663359058,20.50334528475414,20.503163039649465,20.54766342497029
bc8,18.343713502168537,16.195369411495964,16.19716226031538,17.120437965037727,17.123362155032957,16.864219397332974,16.881116206100554,16.474650862156608,17.072239322332894,17.07614878442352,17.83270770573841,18.441503713272436,19.574818470918142,19.639320663359058,0.0,0.0,0.0,17.80883910546684,17.809039359189892,16.688555934928594
bc4,18.343713502168537,16.195369411495964,16.19716226031538,17.120437965037727,17.123362155032957,16.864219397332974,16.881116206100554,16.474650862156608,17.072239322332894,17.07614878442352,17.83270770573841,18.441503713272436,19.574818470918142,19.639320663359058,0.0,0.0,0.0,17.80883910546684,17.809039359189892,16.688555934928594
bc16,18.343713502168537,16.195369411495964,16.19716226031538,17.120437965037727,17.123362155032957,16.864219397332974,16.881116206100554,16.474650862156608,17.072239322332894,17.07614878442352,17.83270770573841,18.441503713272436,19.574818470918142,19.639320663359058,0.0,0.0,0.0,17.80883910546684,17.809039359189892,16.688555934928594
12/8,18.992018672544557,14.11464520299275,14.116202942456754,15.783967050026083,15.794776561009764,17.41934447086152,17.443529454602054,13.744845296927448,20.787125834213324,20.79267975673984,11.75198360527316,19.907667207721715,20.49782686816184,20.50334528475414,17.80883910546684,17.80883910546684,17.80883910546684,0.0,0.05704803180007531,21.776635123760855
12/4,18.992163336422283,14.114822531879518,14.115769675035166,15.782122759050464,15.79293725866541,17.419447696853094,17.442355569904706,13.745023741903918,20.787260867929742,20.792464477536758,11.75139858981556,19.908149675302838,20.497933907194227,20.503163039649465,17.809039359189892,17.809039359189892,17.809039359189892,0.05704803180007531,0.0,21.7767849927804
bc12,20.116008064341784,18.58334321193376,18.584736198690763,17.256390552873274,17.264174578147514,19.512739497327257,19.560502042850658,20.352271610516084,19.152938618528136,19.155104687511,19.477864685334172,18.976483274721954,20.480863226664408,20.54766342497029,16.688555934928594,16.688555934928594,16.688555934928594,21.776635123760855,21.7767849927804,0.0
