,bc3,bc8,bc2,bc4,bc6,bc12,2/2,6/4,6/8,2/4,5/4,5/8,4/4,12/4,12/8,7/8,7/4,3/4,9/8,9/4
5/4,22.671172674632285,16.881116206100554,16.881116206100554,16.881116206100554,22.50966766251088,19.560502042850658,13.963206745795393,14.322829817394481,14.325733683390066,13.957798367904088,0.0,1.362698728389227,16.408369836920212,16.951955392066036,16.953235336762962,43.277221216616695,128.81948835135762,135.80295575940647,237.69079095668545,237.7385711565837
5/8,22.782584547499148,16.864219397332974,16.864219397332974,16.864219397332974,22.667047751495293,19.512739497327257,13.974978003832206,14.283062507618181,14.2818757524909,13.968639800234874,1.362698728389227,0.0,16.3932076874623,16.929064516170087,16.929030506389626,43.29333165881707,128.77133175109674,135.83287480714105,237.740025579624,237.78793470475412
4/4,24.134349509777714,18.50991098593475,18.50991098593475,18.50991098593475,24.351780370268603,21.636796941696215,9.902279314226272,9.193280570097627,9.19434166453007,9.891206149307884,16.408369836920212,16.3932076874623,0.0,1.644681145092648,1.6491036802046521,43.719101754407966,129.33078444750072,135.98459944697788,238.21245862508997,238.25991108778035
12/4,24.269092234890422,18.621048625853284,18.621048625853284,18.621048625853284,24.45239418941821,21.776159451283764,10.69945424775465,9.492716152776456,9.491788546242045,10.691070494057708,16.951955392066036,16.929064516170087,1.644681145092648,0.0,0.05704803180007531,43.432413144223695,129.22915309745662,135.9790815893919,238.23727815693536,238.28482236007662
12/8,24.272645480310093,18.62092275039319,18.62092275039319,18.62092275039319,24.44070174984753,21.776065712195408,10.702283182497291,9.493489174884724,9.491653631953305,10.693907149679662,16.953235336762962,16.929030506389626,1.6491036802046521,0.05704803180007531,0.0,43.43237654081257,129.23226812324705,135.99697821952037,238.2527748931739,238.30034656753298
7/8,42.893574878765655,36.843581564989265,36.843581564989265,36.843581564989265,47.6891446628029,49.44547109283083,44.93588516262642,41.04724958411214,41.04660370845179,44.94977756595464,43.277221216616695,43.29333165881707,43.719101754407966,43.432413144223695,43.43237654081257,0.0,131.26742831308334,142.14209288935757,244.69621999891916,244.74311574290644
7/4,137.96887803756155,127.92368783359522,127.92368783359522,127.92368783359522,131.17535083786416,126.93418584574793,128.55048724370604,128.01029777118785,128.02491843251704,128.3969426692691,128.81948835135762,128.77133175109674,129.33078444750072,129.22915309745662,129.23226812324705,131.26742831308334,0.0,135.30491272188618,177.03802186055907,177.10177123239885
3/4,139.59752598688416,136.31348574006878,136.31348574006878,136.31348574006878,135.56112900338223,134.40966562758052,135.41324668817214,134.93206012232474,134.9867942996034,135.2661459419567,135.80295575940647,135.83287480714105,135.98459944697788,135.9790815893919,135.99697821952037,142.14209288935757,135.30491272188618,0.0,116.39711839650614,116.42582987041483
9/8,242.87864739541283,238.09116357916272,238.09116357916272,238.09116357916272,236.23976741871383,234.5808877620559,237.10153083377,237.23904295878887,237.28915997467846,236.93117045556505,237.69079095668545,237.740025579624,238.21245862508997,238.23727815693536,238.2527748931739,244.69621999891916,177.03802186055907,116.39711839650614,0.0,0.2001756656984068
9/4,242.92453373243399,238.13908922807133,238.13908922807133,238.13908922807133,236.29181220637517,234.62942275674976,237.1492343267748,237.2868941137295,237.33709295897398,236.97890316381574,237.7385711565837,237.78793470475412,238.25991108778035,238.28482236007662,238.30034656753298,244.74311574290644,177.10177123239885,116.42582987041483,0.2001756656984068,0.0
