,2/2,4/4,2/4,c4,3/4,5/4,7/4,c8,6/4,c1,c2,5/8,7/8,9/4,6/8,9/8,12/8,c3,12/4,c6,c5,c16,c7,c12,c10,c9,c14
c2,1.014468479783025,1.014468479783025,0.5257394130651457,1.0,0.5411042389377494,0.5524848344170975,0.5578057911536867,1.7320508075688772,1.0807258406403695,0.0,0.0,0.22108807311395806,0.23035179007344966,1.0724052774225061,0.6299130617273755,0.6284309028163497,1.211834996535368,0.9985283792228454,1.8306739106385947,1.4059673488550548,1.4090385954289637,2.6457513110645907,1.7203079548323494,2.225643361388572,1.9806758753205744,1.9977672979278005,2.4328828411822303
5/8,1.0340631848071955,1.0340631848071955,0.5687515443763678,1.0234641364243533,0.5729916088717013,0.5215003231176772,0.5878618572430745,1.743569536129644,1.081466844281392,0.22108807311395806,0.22108807311395806,0.0,0.3003589447482924,1.0683015934019662,0.6463896757764869,0.6459772190644764,1.207479404625368,1.0067963551570571,1.8130633808584724,1.404077573822081,1.2736566902517494,2.6475112579441253,1.7155870558039714,2.2131261168934677,1.7638117015274766,1.9884460370672465,2.418416944954962
7/8,1.0353574208397751,1.0353574208397751,0.5701151230850959,1.0222816614244599,0.5775099745284954,0.5852483043836048,0.5527134941520594,1.7438928972480268,1.0813346887088815,0.23035179007344966,0.23035179007344966,0.3003589447482924,0.0,1.07701095509979,0.65546483381469,0.6501652454645972,1.2080245851389662,1.0135284268228382,1.808727075577081,1.411497463796868,1.405742525135592,2.6500924783640936,1.591041586513546,2.219465800378109,1.968552940776381,1.9856514733077397,2.236997900196411
9/4,1.073629668142576,1.073629668142576,0.8750964606892008,0.889204868285702,0.6385119693339508,0.8504890852576493,0.8639303179444312,1.654000426290441,0.39968556162363067,1.0724052774225061,1.0724052774225061,1.0683015934019662,1.07701095509979,0.0,0.7379838133712118,0.8849017564446927,0.6374291137888402,1.1563668290545643,1.1537106893286961,1.2474692114694004,1.686094786735465,2.5904831325697923,1.9402180835998684,1.2957208616227913,2.135968490493016,1.9156729847168208,2.5468300459606907
6/8,1.1076367221212904,1.1076367221212904,0.743087832623007,1.07416059618284,0.5673312421773511,0.7369892075803461,0.7422473701266755,1.7676827799324082,0.7358317833287117,0.6299130617273755,0.6299130617273755,0.6463896757764869,0.65546483381469,0.7379838133712118,0.0,0.30453983461398626,0.6696423389076898,0.741121913254345,1.456312003638819,0.8346376729965916,1.500337905473565,2.65926061466424,1.7935859473735836,1.7147604564809344,2.020848874410272,1.8594773970906338,2.4636388723151037
9/8,1.1797742588723776,1.1797742588723776,0.8137409931192062,1.1769529636693625,0.7042037034979899,0.8005386696379058,0.8120146588472341,1.8318304049988523,0.9382226669709148,0.6284309028163497,0.6284309028163497,0.6459772190644764,0.6501652454645972,0.8849017564446927,0.30453983461398626,0.0,0.8556871997650715,0.7514283766781108,1.6052474740371598,0.8546469303976725,1.5007020652612,2.6970293575017985,1.7875936518829028,1.904017427748976,2.024607499638621,1.7159631216104327,2.456437718686561
12/8,1.2802040909958925,1.2802040909958925,1.1269124438945834,1.285580021628669,0.9246458469814107,1.1377645916950603,1.139675432255324,1.7614289935506746,0.47861793700640326,1.211834996535368,1.211834996535368,1.207479404625368,1.2080245851389662,0.6374291137888402,0.6696423389076898,0.8556871997650715,0.0,1.046095754705806,0.8969738840542739,0.8692052601843283,1.7768699801820629,2.6502200274720393,2.00175743592831,1.159714159305838,2.2067530170524057,1.9648278932074974,2.5791612533491732
c3,1.4114315069764412,1.4114315069764412,1.1237824769498568,1.4090291046251149,1.028385285736177,1.117635180980993,1.12166555373385,1.9880347076139728,1.157299196068388,0.9985283792228454,0.9985283792228454,1.0067963551570571,1.0135284268228382,1.1563668290545643,0.741121913254345,0.7514283766781108,1.046095754705806,0.0,1.7175211749023243,0.9851504736828418,1.703818114241593,2.806760739417626,1.9565593751045711,1.968507919044107,2.1580691522575792,1.7085095454837456,2.5827085061557944
12/4,1.5239735416949591,1.5239735416949591,1.6136071788100435,1.65097119916055,1.4887604469537363,1.648587715676394,1.6509357310260633,1.7661364680496185,0.9178152456875875,1.8306739106385947,1.8306739106385947,1.8130633808584724,1.808727075577081,1.1537106893286961,1.456312003638819,1.6052474740371598,0.8969738840542739,1.7175211749023243,0.0,1.6199807587834578,2.180692276042456,2.4798780780190106,2.334733447838011,1.2157884911367243,2.504581372238008,2.33444036361741,2.788721978566739
c6,1.7201513242621425,1.7201513242621425,1.4977175486956547,1.7253243712550144,1.3514111467723808,1.4810200781242244,1.4847925276607816,2.2160701277379324,1.2409496463860505,1.4059673488550548,1.4059673488550548,1.404077573822081,1.411497463796868,1.2474692114694004,0.8346376729965916,0.8546469303976725,0.8692052601843283,0.9851504736828418,1.6199807587834578,0.0,1.9298937074540903,2.964696623625035,2.171199042861143,1.6916300351260647,2.336816456811431,1.9515387473334092,2.7380029116737132
