Meter,2/2,2/4,3/4,4/4,5/4,6/4,7/4,9/4,12/4,5/8,6/8,7/8,9/8,12/8,bc3,bc6,bc12,bc2,bc4,bc8
6/8,6.419258952444759,6.395661325812598,16.067330323462215,11.28344039508639,14.325733683390066,0.17943368156025197,16.59726391809414,14.892934539049765,14.114822531879518,14.2818757524909,0.0,16.518507312878985,14.89091630905358,14.11464520299275,22.21734997911581,21.652624268643613,18.58334321193376,16.195369411495964,16.195369411495964,16.195369411495964
7/8,16.424598790861626,16.36306345389738,18.882717758438968,17.620692566203356,17.107936003998883,16.5195260249062,1.3672125465302953,17.142742529157847,20.497933907194227,17.028098768411212,16.518507312878985,0.0,17.141362254184585,20.49782686816184,24.55207861535666,23.73729777948262,20.480863226664408,19.574818470918142,19.574818470918142,19.574818470918142
9/8,16.09718840529633,16.138462993094404,9.578912003015876,18.42366258351994,15.653681702102704,14.892395850511972,17.266593381186848,0.200175665698408,20.787260867929742,15.621588067027751,14.89091630905358,17.141362254184585,0.0,20.787125834213324,22.82241808224548,22.323228370738132,19.152938618528136,17.072239322332894,17.072239322332894,17.072239322332894
12/8,15.794776561009764,15.783967050026083,19.907667207721715,11.75198360527316,17.443529454602054,14.116202942456754,20.50334528475414,20.79267975673984,0.05704803180007531,17.41934447086152,14.11464520299275,20.49782686816184,20.787125834213324,0.0,23.81133150669927,23.98262061439724,21.776635123760855,17.80883910546684,17.80883910546684,17.80883910546684
bc3,22.119667093676142,22.317309544352703,23.473424681025353,23.27697099107639,22.671172674632285,22.20525228487399,24.539703943176374,22.813687855080705,23.807760755207912,22.782584547499148,22.21734997911581,24.55207861535666,22.82241808224548,23.81133150669927,0.0,20.42035224833365,20.48020777421953,16.738726381615233,16.738726381615233,16.738726381615233
bc6,20.89788595635358,20.89021265567216,22.057428857055882,22.646883711821058,22.50966766251088,21.694504179682507,23.875226304900902,22.36580399963445,23.994587220168903,22.667047751495293,21.652624268643613,23.73729777948262,22.323228370738132,23.98262061439724,20.42035224833365,0.0,14.4253452291444,18.63718150838853,18.63718150838853,18.63718150838853
bc12,17.264174578147514,17.256390552873274,18.976483274721954,19.477864685334172,19.560502042850658,18.584736198690763,20.54766342497029,19.155104687511,21.7767849927804,19.512739497327257,18.58334321193376,20.480863226664408,19.152938618528136,21.776635123760855,20.48020777421953,14.4253452291444,0.0,16.688555934928594,16.688555934928594,16.688555934928594
bc2,17.123362155032957,17.120437965037727,18.441503713272436,17.83270770573841,16.881116206100554,16.19716226031538,19.639320663359058,17.07614878442352,17.809039359189892,16.864219397332974,16.195369411495964,19.574818470918142,17.072239322332894,17.80883910546684,16.738726381615233,18.63718150838853,16.688555934928594,0.0,0.0,0.0
bc4,17.123362155032957,17.120437965037727,18.441503713272436,17.83270770573841,16.881116206100554,16.19716226031538,19.639320663359058,17.07614878442352,17.809039359189892,16.864219397332974,16.195369411495964,19.574818470918142,17.072239322332894,17.80883910546684,16.738726381615233,18.63718150838853,16.688555934928594,0.0,0.0,0.0
bc8,17.123362155032957,17.120437965037727,18.441503713272436,17.83270770573841,16.881116206100554,16.19716226031538,19.639320663359058,17.07614878442352,17.809039359189892,16.864219397332974,16.195369411495964,19.574818470918142,17.072239322332894,17.80883910546684,16.738726381615233,18.63718150838853,16.688555934928594,0.0,0.0,0.0
