,mc4,12/4,12/8,2/2,4/4,2/4,6/4,6/8,mc12,5/4,7/4,3/4,9/4,7/8,9/8,5/8,mc2,mc6,mc9,mc7,mc5,mc3
9/4,24.263759074330288,16.674972690884047,17.286250771000123,19.98187734320453,19.98187734320453,21.102920812886534,14.183782067845545,15.117066471485764,15.65181648387643,17.38305332412552,16.99591057158241,9.371251924922923,0.0,17.807710322550097,1.572153163643502,18.501639514241212,30.302856145887514,15.185274801765173,10.52997496911535,21.702337577119646,23.396319374142724,15.708281143665182
7/8,24.832350911413993,18.98399306348789,19.650984729138486,21.46826011459733,21.46826011459733,22.639796644912682,18.814916826701467,19.875153855897736,19.31262812405109,18.161952629026118,2.4427129587190586,20.495332605963448,17.807710322550097,0.0,18.57845697408884,19.413508938780016,31.33923614069389,22.24436172208018,20.75349094324468,7.569506446716221,23.965776224482774,28.10400319541597
9/8,24.89056299524408,17.122445912498744,17.68040095805835,20.256166105877966,20.256166105877966,21.313596804954397,14.459428242478689,15.285289748233405,16.78386721069146,18.09709192201779,17.866506495253958,9.170976670922379,1.572153163643502,18.57845697408884,0.0,19.09428551306404,30.235863700870926,15.444209218650991,10.976287895672767,22.418257060837796,23.95120936451877,14.933256131143402
5/8,25.00522192589559,18.54269577821641,19.08960478791456,20.61266753713839,20.61266753713839,21.63806623888902,18.507081403861847,19.37134672493801,21.012316858738544,2.8545807211371392,18.711955008037986,20.48600291309661,18.501639514241212,19.413508938780016,19.09428551306404,0.0,30.0146067648767,23.095222269284594,22.243939126410382,23.157362898785287,8.846525447416168,28.019408056301927
mc2,25.099800796022265,17.79284465202101,17.172555090635655,15.475398582663823,15.475398582663823,14.655640604833392,18.757410620094124,17.79694046739368,32.4037034920393,30.17011742336955,31.485119494790034,28.17961344738517,30.302856145887514,31.33923614069389,30.235863700870926,30.0146067648767,0.0,28.982753492378876,35.4964786985977,35.4964786985977,35.4964786985977,35.4964786985977
mc6,25.099800796022265,18.27149803230125,18.73008404478359,21.97276672180963,21.97276672180963,22.920623619492535,12.917888763141859,13.457851417599567,14.491376746189438,22.087904136170966,21.507212299549547,11.543337910270731,15.185274801765173,22.24436172208018,15.444209218650991,23.095222269284594,28.982753492378876,0.0,20.493901531919196,25.69046515733026,27.49545416973504,20.493901531919196
mc9,27.748873851023216,22.70325975727764,23.38587582348263,25.76577184739933,25.76577184739933,26.95105796038624,21.169416084432868,22.228117927933784,18.708286933869708,20.91515051842962,19.73567963405563,18.863602306564708,10.52997496911535,20.75349094324468,10.976287895672767,22.243939126410382,35.4964786985977,20.493901531919196,0.0,23.664319132398465,25.92296279363144,23.664319132398465
mc7,28.460498941515414,23.75520897494223,24.379601630577053,26.093117645105576,26.093117645105576,27.192327087081047,23.53741705681455,24.53354493949243,22.58317958127243,21.985713376875875,8.319980162087745,24.38566103542461,21.702337577119646,7.569506446716221,22.418257060837796,23.157362898785287,35.4964786985977,25.69046515733026,23.664319132398465,0.0,26.832815729997478,30.983866769659336
mc5,29.698484809834994,24.723891915356436,25.237880918156065,26.67221793607858,26.67221793607858,27.621301226026034,24.60390859957022,25.4216180875216,25.099800796022265,9.751701647701985,23.292650640825517,25.48202146733009,23.396319374142724,23.965776224482774,23.95120936451877,8.846525447416168,35.4964786985977,27.49545416973504,25.92296279363144,26.832815729997478,0.0,31.74901573277509
mc3,32.4037034920393,25.544050069011647,25.785575437242628,27.97687483862031,27.97687483862031,28.59722741405223,22.20639799703207,22.367324822310767,25.099800796022265,27.548866067037522,27.787107779719644,12.31057745622331,15.708281143665182,28.10400319541597,14.933256131143402,28.019408056301927,35.4964786985977,20.493901531919196,23.664319132398465,30.983866769659336,31.74901573277509,0.0
