,4/4,12/4,12/8,6/4,6/8,2/4,2/2,bc24,5/8,5/4,bc1,bc2,bc4,bc8,bc12,bc3,bc6,7/8,7/4,3/4,9/8,9/4
bc1,18.50991098593475,18.621048625853284,18.62092275039319,16.19716226031538,16.195369411495964,17.120437965037727,17.123362155032957,18.343713502168537,16.864219397332974,16.881116206100554,0.0,0.0,0.0,0.0,16.688555934928594,16.738726381615233,18.63718150838853,36.843581564989265,127.92368783359522,136.31348574006878,238.09116357916272,238.13908922807133
bc2,18.50991098593475,18.621048625853284,18.62092275039319,16.19716226031538,16.195369411495964,17.120437965037727,17.123362155032957,18.343713502168537,16.864219397332974,16.881116206100554,0.0,0.0,0.0,0.0,16.688555934928594,16.738726381615233,18.63718150838853,36.843581564989265,127.92368783359522,136.31348574006878,238.09116357916272,238.13908922807133
bc4,18.50991098593475,18.621048625853284,18.62092275039319,16.19716226031538,16.195369411495964,17.120437965037727,17.123362155032957,18.343713502168537,16.864219397332974,16.881116206100554,0.0,0.0,0.0,0.0,16.688555934928594,16.738726381615233,18.63718150838853,36.843581564989265,127.92368783359522,136.31348574006878,238.09116357916272,238.13908922807133
bc8,18.50991098593475,18.621048625853284,18.62092275039319,16.19716226031538,16.195369411495964,17.120437965037727,17.123362155032957,18.343713502168537,16.864219397332974,16.881116206100554,0.0,0.0,0.0,0.0,16.688555934928594,16.738726381615233,18.63718150838853,36.843581564989265,127.92368783359522,136.31348574006878,238.09116357916272,238.13908922807133
bc12,21.636796941696215,21.776159451283764,21.776065712195408,18.584736198690763,18.58334321193376,17.256390552873274,17.264174578147514,20.116008064341784,19.512739497327257,19.560502042850658,16.688555934928594,16.688555934928594,16.688555934928594,16.688555934928594,0.0,20.48020777421953,14.4253452291444,49.44547109283083,126.93418584574793,134.40966562758052,234.5808877620559,234.62942275674976
bc3,24.134349509777714,24.269092234890422,24.272645480310093,22.20525228487399,22.21734997911581,22.317309544352703,22.119667093676142,23.75058525549776,22.782584547499148,22.671172674632285,16.738726381615233,16.738726381615233,16.738726381615233,16.738726381615233,20.48020777421953,0.0,20.42035224833365,42.893574878765655,137.96887803756155,139.59752598688416,242.87864739541283,242.92453373243399
bc6,24.351780370268603,24.45239418941821,24.44070174984753,21.694504179682507,21.652624268643613,20.89021265567216,20.89788595635358,23.664396609809035,22.667047751495293,22.50966766251088,18.63718150838853,18.63718150838853,18.63718150838853,18.63718150838853,14.4253452291444,20.42035224833365,0.0,47.6891446628029,131.17535083786416,135.56112900338223,236.23976741871383,236.29181220637517
7/8,43.719101754407966,43.432413144223695,43.43237654081257,41.04724958411214,41.04660370845179,44.94977756595464,44.93588516262642,42.45038065568436,43.29333165881707,43.277221216616695,36.843581564989265,36.843581564989265,36.843581564989265,36.843581564989265,49.44547109283083,42.893574878765655,47.6891446628029,0.0,131.26742831308334,142.14209288935757,244.69621999891916,244.74311574290644
7/4,129.33078444750072,129.22915309745662,129.23226812324705,128.01029777118785,128.02491843251704,128.3969426692691,128.55048724370604,129.0476036342934,128.77133175109674,128.81948835135762,127.92368783359522,127.92368783359522,127.92368783359522,127.92368783359522,126.93418584574793,137.96887803756155,131.17535083786416,131.26742831308334,0.0,135.30491272188618,177.03802186055907,177.10177123239885
3/4,135.98459944697788,135.9790815893919,135.99697821952037,134.93206012232474,134.9867942996034,135.2661459419567,135.41324668817214,135.2542797603604,135.83287480714105,135.80295575940647,136.31348574006878,136.31348574006878,136.31348574006878,136.31348574006878,134.40966562758052,139.59752598688416,135.56112900338223,142.14209288935757,135.30491272188618,0.0,116.39711839650614,116.42582987041483
9/8,238.21245862508997,238.23727815693536,238.2527748931739,237.23904295878887,237.28915997467846,236.93117045556505,237.10153083377,237.81607760091248,237.740025579624,237.69079095668545,238.09116357916272,238.09116357916272,238.09116357916272,238.09116357916272,234.5808877620559,242.87864739541283,236.23976741871383,244.69621999891916,177.03802186055907,116.39711839650614,0.0,0.2001756656984068
9/4,238.25991108778035,238.28482236007662,238.30034656753298,237.2868941137295,237.33709295897398,236.97890316381574,237.1492343267748,237.86385677131855,237.78793470475412,237.7385711565837,238.13908922807133,238.13908922807133,238.13908922807133,238.13908922807133,234.62942275674976,242.92453373243399,236.29181220637517,244.74311574290644,177.10177123239885,116.42582987041483,0.2001756656984068,0.0
