,4/4,6/4,6/8,12/4,12/8,2/4,2/2,bc24,5/8,5/4,3/4,7/8,7/4,bc1,bc2,bc4,bc8,9/4,9/8,bc12,bc6,bc3
3/4,16.70573267231576,16.07069673664522,16.067330323462215,19.908149675302838,19.907667207721715,16.78539969070689,16.754782826944428,16.4936823061671,16.23555057577915,16.147189427096983,0.0,18.882717758438968,19.02982227145539,18.441503713272436,18.441503713272436,18.441503713272436,18.441503713272436,9.580027917893737,9.578912003015876,18.976483274721954,22.057428857055882,23.473424681025353
7/8,17.620692566203356,16.5195260249062,16.518507312878985,20.497933907194227,20.49782686816184,16.36306345389738,16.424598790861626,18.147832134744633,17.028098768411212,17.107936003998883,18.882717758438968,0.0,1.3672125465302953,19.574818470918142,19.574818470918142,19.574818470918142,19.574818470918142,17.142742529157847,17.141362254184585,20.480863226664408,23.73729777948262,24.55207861535666
7/4,17.657037815202585,16.596165755682783,16.59726391809414,20.503163039649465,20.50334528475414,16.455206817581992,16.52334500958803,18.208466656667337,17.098040149791597,17.17691797274757,19.02982227145539,1.3672125465302953,0.0,19.639320663359058,19.639320663359058,19.639320663359058,19.639320663359058,17.267564185501048,17.266593381186848,20.54766342497029,23.875226304900902,24.539703943176374
bc1,17.83270770573841,16.19716226031538,16.195369411495964,17.809039359189892,17.80883910546684,17.120437965037727,17.123362155032957,18.343713502168537,16.864219397332974,16.881116206100554,18.441503713272436,19.574818470918142,19.639320663359058,0.0,0.0,0.0,0.0,17.07614878442352,17.072239322332894,16.688555934928594,18.63718150838853,16.738726381615233
bc2,17.83270770573841,16.19716226031538,16.195369411495964,17.809039359189892,17.80883910546684,17.120437965037727,17.123362155032957,18.343713502168537,16.864219397332974,16.881116206100554,18.441503713272436,19.574818470918142,19.639320663359058,0.0,0.0,0.0,0.0,17.07614878442352,17.072239322332894,16.688555934928594,18.63718150838853,16.738726381615233
bc4,17.83270770573841,16.19716226031538,16.195369411495964,17.809039359189892,17.80883910546684,17.120437965037727,17.123362155032957,18.343713502168537,16.864219397332974,16.881116206100554,18.441503713272436,19.574818470918142,19.639320663359058,0.0,0.0,0.0,0.0,17.07614878442352,17.072239322332894,16.688555934928594,18.63718150838853,16.738726381615233
bc8,17.83270770573841,16.19716226031538,16.195369411495964,17.809039359189892,17.80883910546684,17.120437965037727,17.123362155032957,18.343713502168537,16.864219397332974,16.881116206100554,18.441503713272436,19.574818470918142,19.639320663359058,0.0,0.0,0.0,0.0,17.07614878442352,17.072239322332894,16.688555934928594,18.63718150838853,16.738726381615233
9/4,18.42306882095588,14.892948876552977,14.892934539049765,20.792464477536758,20.79267975673984,16.13632104891534,16.095115735745466,15.397169582986056,15.624532000066752,15.654511130121422,9.580027917893737,17.142742529157847,17.267564185501048,17.07614878442352,17.07614878442352,17.07614878442352,17.07614878442352,0.0,0.200175665698408,19.155104687511,22.36580399963445,22.813687855080705
9/8,18.42366258351994,14.892395850511972,14.89091630905358,20.787260867929742,20.787125834213324,16.138462993094404,16.09718840529633,15.395953383634682,15.621588067027751,15.653681702102704,9.578912003015876,17.141362254184585,17.266593381186848,17.072239322332894,17.072239322332894,17.072239322332894,17.072239322332894,0.200175665698408,0.0,19.152938618528136,22.323228370738132,22.82241808224548
bc12,19.477864685334172,18.584736198690763,18.58334321193376,21.7767849927804,21.776635123760855,17.256390552873274,17.264174578147514,20.116008064341784,19.512739497327257,19.560502042850658,18.976483274721954,20.480863226664408,20.54766342497029,16.688555934928594,16.688555934928594,16.688555934928594,16.688555934928594,19.155104687511,19.152938618528136,0.0,14.4253452291444,20.48020777421953
bc6,22.646883711821058,21.694504179682507,21.652624268643613,23.994587220168903,23.98262061439724,20.89021265567216,20.89788595635358,23.664396609809035,22.667047751495293,22.50966766251088,22.057428857055882,23.73729777948262,23.875226304900902,18.63718150838853,18.63718150838853,18.63718150838853,18.63718150838853,22.36580399963445,22.323228370738132,14.4253452291444,0.0,20.42035224833365
bc3,23.27697099107639,22.20525228487399,22.21734997911581,23.807760755207912,23.81133150669927,22.317309544352703,22.119667093676142,23.75058525549776,22.782584547499148,22.671172674632285,23.473424681025353,24.55207861535666,24.539703943176374,16.738726381615233,16.738726381615233,16.738726381615233,16.738726381615233,22.813687855080705,22.82241808224548,20.48020777421953,20.42035224833365,0.0
