,2/2,4/4,2/4,12/8,12/4,mc4,6/4,6/8,mc12,3/4,5/4,7/4,9/4,9/8,7/8,5/8,mc6,mc2,mc9,mc7,mc5,mc3
7/4,0.002451579328409529,0.002451579328409529,0.002703087487307722,0.0021300184471762917,0.00200406543782403,0.003167976609440946,0.0021150934541931806,0.0023282672430263887,0.00220549881742361,0.0024466558848141302,0.0021135738466644045,0.0,0.0020017149149094823,0.002172142575002885,0.000533922401071748,0.002419994590151105,0.0028081333102387366,0.00437038199259644,0.00253138317001673,0.0014697252141297977,0.003116341065255336,0.003829765391943216
9/4,0.002481307411503734,0.002481307411503734,0.0027260738135664133,0.0019649023851984865,0.0018498664521640232,0.0032186448569677824,0.0016169012195997134,0.001798097716199138,0.0017695170389572445,0.0015837033041856126,0.002141466902502904,0.0020017149149094823,0.0,0.0003298270626902477,0.002223460847906714,0.0024266702552499363,0.0020814782914757995,0.004334738181184983,0.0010063221607850017,0.0027378575393463187,0.0030750630279638915,0.002828809449803259
9/8,0.0025911467838875065,0.0025911467838875065,0.002820354150504479,0.0021079483790760302,0.002006264794205733,0.0033249488881590588,0.0017216870270856735,0.0018733127517333872,0.001961253674005929,0.0016188180027336926,0.0022915351167518863,0.002172142575002885,0.0003298270626902477,0.0,0.0023663206444477646,0.002545070120587471,0.002066644103535488,0.00432302626880925,0.0009004220695716282,0.002845699949525635,0.003157278233708914,0.002709395756384512
7/8,0.0026161652884411804,0.0026161652884411804,0.002846281321591673,0.002330917739261074,0.0022210983835123845,0.003338224602968699,0.0022907353556169455,0.002477340846512047,0.0024485140325833767,0.0026070779590036466,0.002325786291191434,0.000533922401071748,0.002223460847906714,0.0023663206444477646,0.0,0.0025843688098561284,0.0029273677995447743,0.004343561591370297,0.00271009053332409,0.0012626133946605073,0.003237822647474702,0.0038976727277993638
5/8,0.002645737774389063,0.002645737774389063,0.00284683600857478,0.0024128484168878445,0.002324656737705496,0.003348282403052233,0.002399737527866393,0.002552915484513346,0.0026321603065743724,0.0027157378652036632,0.0006251774762234575,0.002419994590151105,0.0024266702552499363,0.002545070120587471,0.0025843688098561284,0.0,0.0030115828836423317,0.004199414936299407,0.0028857308328964757,0.0030559818008862698,0.0014931277004011344,0.003925368610953667
mc6,0.0026647060822634254,0.0026647060822634254,0.00280983751457391,0.0020846310071649804,0.0020647702774468316,0.0033205186924225765,0.0012236359334171299,0.001105734197712379,0.0019171023609193605,0.00099340508560473,0.0028488067640912895,0.0028081333102387366,0.0020814782914757995,0.002066644103535488,0.0029273677995447743,0.0030115828836423317,0.0,0.003834204721838716,0.0027111921592696394,0.0033986592349954047,0.0036374459809148094,0.00271119215926964
mc2,0.0028805719272791456,0.0028805719272791456,0.0027187682998792376,0.0031923499827081463,0.0032949045513557757,0.0033205186924225795,0.0034246537259921836,0.0032794349068008804,0.0042867711988410235,0.003918361991756475,0.004236277206523787,0.00437038199259644,0.004334738181184983,0.00432302626880925,0.004343561591370297,0.004199414936299407,0.003834204721838716,0.0,0.004695922568937386,0.004695922568937385,0.004695922568937384,0.004695922568937383
mc9,0.0030085930761213913,0.0030085930761213913,0.0032249301545423203,0.0026114387661188244,0.0025152026215473455,0.00367097153737574,0.002356962774682603,0.0025039334487243874,0.0024749685056052006,0.002290361980898878,0.0026504307931758658,0.00253138317001673,0.0010063221607850017,0.0009004220695716282,0.00271009053332409,0.0028857308328964757,0.0027111921592696394,0.004695922568937386,0.0,0.0031306150459582583,0.003429416959072821,0.0031306150459582583
mc7,0.0031273085140156574,0.0031273085140156574,0.0033232452084541596,0.0028911866228888655,0.002802713949180701,0.0037651142930963644,0.0028587742404903157,0.003011506225636969,0.002987588249936822,0.0030645266617998984,0.0028491100148705525,0.0014697252141297977,0.0027378575393463187,0.002845699949525635,0.0012626133946605073,0.0030559818008862698,0.0033986592349954047,0.004695922568937385,0.0031306150459582583,0.0,0.0035497837981211125,0.004098937262820392
mc5,0.0033303491981027246,0.0033303491981027246,0.003493246384156213,0.0031469472020568675,0.003079205589197013,0.0039288907011291166,0.0031371020927579616,0.0032568876373112532,0.0033205186924225786,0.0033159448658479115,0.0017350420939776375,0.003116341065255336,0.0030750630279638915,0.003157278233708914,0.003237822647474702,0.0014931277004011344,0.0036374459809148094,0.004695922568937384,0.003429416959072821,0.0035497837981211125,0.0,0.0042001608324877746
