,6/8,6/4,12/4,12/8,2/2,4/4,2/4,3/4,mc6,9/4,9/8,mc12,mc2,mc4,5/4,5/8,7/4,7/8,mc8,mc9,mc3,mc7,mc5
9/8,15.285289748233405,14.459428242478689,17.122445912498744,17.68040095805835,20.256166105877966,20.256166105877966,21.313596804954397,9.170976670922379,15.444209218650991,1.572153163643502,0.0,16.78386721069146,30.235863700870926,24.89056299524408,18.09709192201779,19.09428551306404,17.866506495253958,18.57845697408884,21.730312065442106,10.976287895672767,14.933256131143402,22.418257060837796,23.95120936451877
mc12,16.762614058487916,15.65600948638201,16.90821829199694,17.611488809111773,21.507275069144484,21.507275069144484,22.73540613010013,15.747319750278555,14.491376746189438,15.65181648387643,16.78386721069146,0.0,32.4037034920393,20.493901531919196,19.324159691869433,21.012316858738544,17.987699387537617,19.31262812405109,17.74823934929885,18.708286933869708,25.099800796022265,22.58317958127243,25.099800796022265
mc2,17.79694046739368,18.757410620094124,17.79284465202101,17.172555090635655,15.475398582663823,15.475398582663823,14.655640604833392,28.17961344738517,28.982753492378876,30.302856145887514,30.235863700870926,32.4037034920393,0.0,25.099800796022265,30.17011742336955,30.0146067648767,31.485119494790034,31.33923614069389,30.740852297878796,35.4964786985977,35.4964786985977,35.4964786985977,35.4964786985977
mc4,18.759208097533556,18.452711477167362,13.156076620070605,13.16566875692523,13.370458921018807,13.370458921018807,13.762954476438104,24.028753859048933,25.099800796022265,24.263759074330288,24.89056299524408,20.493901531919196,25.099800796022265,0.0,23.80921883104286,25.00522192589559,23.96464468079562,24.832350911413993,17.74823934929885,27.748873851023216,32.4037034920393,28.460498941515414,29.698484809834994
5/4,18.817164304695858,17.824827723151614,17.73653773736894,18.361290809268578,20.0761211292932,20.0761211292932,21.202556572887715,19.738020719772177,22.087904136170966,17.38305332412552,18.09709192201779,19.324159691869433,30.17011742336955,23.80921883104286,0.0,2.8545807211371392,17.29774172905198,18.161952629026118,20.5374556891494,20.91515051842962,27.548866067037522,21.985713376875875,9.751701647701985
5/8,19.37134672493801,18.507081403861847,18.54269577821641,19.08960478791456,20.61266753713839,20.61266753713839,21.63806623888902,20.48600291309661,23.095222269284594,18.501639514241212,19.09428551306404,21.012316858738544,30.0146067648767,25.00522192589559,2.8545807211371392,0.0,18.711955008037986,19.413508938780016,22.078346308540485,22.243939126410382,28.019408056301927,23.157362898785287,8.846525447416168
7/4,19.521514556398227,18.36675507637721,18.446272707354705,19.17067446996353,21.126536338935267,21.126536338935267,22.36938103046971,19.98406530747323,21.507212299549547,16.99591057158241,17.866506495253958,17.987699387537617,31.485119494790034,23.96464468079562,17.29774172905198,18.711955008037986,0.0,2.4427129587190586,19.65309252030103,19.73567963405563,27.787107779719644,8.319980162087745,23.292650640825517
7/8,19.875153855897736,18.814916826701467,18.98399306348789,19.650984729138486,21.46826011459733,21.46826011459733,22.639796644912682,20.495332605963448,22.24436172208018,17.807710322550097,18.57845697408884,19.31262812405109,31.33923614069389,24.832350911413993,18.161952629026118,19.413508938780016,2.4427129587190586,0.0,20.830137223271425,20.75349094324468,28.10400319541597,7.569506446716221,23.965776224482774
mc8,20.529163627878088,19.189025898925898,17.17327007544309,17.74411824156036,18.064670108169057,18.064670108169057,19.12167827076478,22.752572286845634,22.9128784747792,20.84143350233301,21.730312065442106,17.74823934929885,30.740852297878796,17.74823934929885,20.5374556891494,22.078346308540485,19.65309252030103,20.830137223271425,0.0,22.9128784747792,30.740852297878796,24.186773244895647,26.324893162176366
mc9,22.228117927933784,21.169416084432868,22.70325975727764,23.38587582348263,25.76577184739933,25.76577184739933,26.95105796038624,18.863602306564708,20.493901531919196,10.52997496911535,10.976287895672767,18.708286933869708,35.4964786985977,27.748873851023216,20.91515051842962,22.243939126410382,19.73567963405563,20.75349094324468,22.9128784747792,0.0,23.664319132398465,23.664319132398465,25.92296279363144
